a0_address,b0_price,c0_unit_price,d0_unitPercent,e0_income,f0_remuneration,g0_multiplier,h0_agreement_term,i0_agreement_remaining,j0_agreement_age,k0_total_unit,l0_rePerUnit,m0_owner_occupy,n0_letting,o0_iPerRent,p0_look_ups,q0_outside_agents,r0_manager_bed,s0_manager_bathroom,t0_manager_car,u0_office,v0_office_hour,w0_agency,x0_agent,y0_complex_fetures,z0_url,z1_title,z2_description,z3_unit_feature,z4_pets,z5_last_update,z6_property_id
"Richlands,",899000,375000,0.42,105077,45271,4.9,"25 years,","23 years,","0 years,",,0,0,,0,0,0,3,2, 2,1," None,
                        ", Next International Realty Pty Ltd,"David Jiang,David Jiang"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3878514,"Simple and Easy!
              ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! "," 
                       ","No,", 2 weeks ago., 3878514
"Taringa,",UNDER CONTRACT,0,0,15253,15773,3.9,"25 years,","12 years,","13 years,",9,0,7,,0,0,2,0,0, 0,0," NONE REQUIRED,
                        ", Mr Brady (Management Rights),"Don Brady,Don Brady"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Taringa-QLD-3878553,"Caretaking Only Business
              ","This is a Caretaking Only Business requiring a few short hours per work to operate. Only in a complex of 9 units with minimal work.,This can be a nice second income for the right person with no licensing required to operate or an add on to another business nearby. There is an annual increase to the Body Corporate Salary of 3% or CPI whichever is the greater.,Pick up the phone now as these caretaking only businesses do not last long. "," NO MANAGERS UNIT TO PURCHASE
                       ","No,", 2 months ago., 3878553
"Griffin,",1505000,465000,0.31,200000,89315,5.2,"25 years,","23 years,","2 years,",71,1257.96,0,68,1627.72,0,0,3,2, 2,1," Nil,
                        ", Liz Lavender Management Rights,"LIZ LAVENDER,LIZ LAVENDER"," Easy care grounds
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Griffin-QLD-3883154,"LARGE PERMANENT - AS NEW!!!
              ","Impressive 2 year old permanent, first time offered for sale.  Large freestanding home and excellent business opportunity.  Northern suburbs of Brisbane near train, shops and M1.   CALL TODAY FOR DETAILS.,IDEAL FOR LIFESTYLE COMPLEX AND IDEAL FOR BEGINNERS. "," Freestanding villa with private yard  undercover entertaining area. Double lock up garage.  Large open plan lounge and  dining room, gourmet kitchen and spacious bedrooms.
                       ","No,", 6 days ago., 3883154
"Wynnum West,",930000,470000,0.51,95000,65000,4.8,"25 years,","22 years,","18 years,",40,1625.0,24,15,2000.0,0,1,3,2, 2,1," none stated,
                        ", Property Bridge,"Bobo Qi,Bobo Qi"," Gated Townhouse Complex, Pool
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879557,"Lifestyle on the Bay
              ","This beautiful boutique bayside gated townhouse complex is five minutes away from the convenience of Wynnum Plaza and the waterfront.  ,Also, within close proximity are child care centres and public schools, whilst being only 15 minutes drive to the International and Domestic Airports.,A lovely garden setting makes this well maintained community a pleasure to call home with the manager having a generously sized 3 bedroom townhouse combined with large fenced back yard.,Generous body corporate salary of $65,000, with annual 3% increases, offers a stable  business income. "," Townhouse, Large back yard, 3 Bedroom, Spacious
                       ","Yes,", 2 months ago., 3879557
"Wynnum West,",1123800,499000,0.44,153000,96707,4.1,"25 years,","15 years,","15 years,",18,5372.61,0,18,3127.39,0,0,3,2, 1,1," Nil Listed,
                        ",,"Tony Hajjar,Tony Hajjar"," Secure Storage Shed and Hardstand Boat/Caravan Storage. Latest digital CCTV surveillance.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879883,"Relax and work from Home
              ","Bayside location. RELAX and work from home. ENJOY the comforts of living in a house not a townhouse or apartment. Single Level. No steps or elevators. Your own backyard, patio and courtyard. Child, grandchild and pet friendly.,Conveniently located 5 minutes to the Wynnum Plaza Shopping Centre, Wynnum Golf Course, Gateway Bridge or coffee shops of Wynnum Central overlooking Moreton Bay.,Unlike managing apartments there is no pool or elevators to maintain, no vast common areas to maintain, minimal contact with tenants when assigned their own pin-access code. No property inspections to conduct. Minimal paperwork.,Can be run by a single or a couple. Current manager has run the business for over 10 years single handedly with ease. ,Don't fight the traffic any longer going to work. Work from home. Work for yourself. Enjoy your own back lawn, patios or courtyard and take in the cool bayside breezes in summer and warm winter sun in winter. "," Spacious 3 bedroom house on large level , landscaped private back yard.
                       ","Yes,", 4 days ago., 3879883
"South Brisbane,",2625000,495000,0.19,416302,91172,5.1,"25 years,","15 years,","0 years,",75,1215.63,14,40,8128.25,0,7,3,2, 0,1," Mon-Thu 9am - 4pm Fri&Sat 9am - 12pm,
                        ", Resort Brokers,"Alex Cook,Alex Cook"," Smart key access to the apartment block and to each
floor, rooftop swimming pool, rooftop gym and
rooftop BBQ area. Large indoor recreational area
with pool area, table tennis, TVâs and sofas, laundry
with sufficient coin operated commercial grade
washing machines and dryers.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3881587,"Student/Permanent MR in Southbank, Brisbane - $416k Nett | Resort Brokers ID : MR005349
              ","Opportunity to purchase the management rights to a rare student focussed management rights business, located in an ideal location in Southbank close to education&cultural centres and CityCat/transport hubs."," 3 bedroom,2 bathroom with lounge, kitchen area
and small balcony.
                       ","no,", 1 month ago., 3881587
"Gailes,","$1,550,000 - 15 MINUTES FROM BRISBANE AND SUNNYBANK",410000,0,228000,84000,5.0,"25 years,","22 years,","3 years,",68,1235.29,1,67,2149.25,0,0,3,2, 4,1," No set office hours,
                        ", Management Rights Sales,"Mark Neale,Mark Neale"," Gym, Storage, CCTV, NBN
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Gailes-QLD-3879957,"HIGH INCOME - GREAT OPPORTUNITY : MANAGEMENT RIGHTS SALES - ID 8876
              ","Permanent Management Rights For Sale,This near new townhouse complex offers a wonderful opportunity for both first time buyers and experienced managers. Located in a rapidly growing suburb, you will find that this well run management rights business is a very attractive offering.,This business has many upsides for potential purchaser:,- Large and luxurious managers unit,- Very well appointed office and storage facility,- Large accountant verified rental base and income ($228,000 net),- No outside agents or owner occupiers,- Low maintenance gardens and common areas,- Gym for all residents to use,- Well established systems and procedures for easy transfer to a new manager,- Friendly and accommodating Body Corporate committee,- 23 of 25 years left on the caretaking agreement offering great security,- Excellent location, close to shops and public transport, quiet street in a desirable suburb, close to motorways for easy transit,With the current managers pricing this business to sell, this sort of complete package is not often seen and will present the incoming managers with great opportunities.,A significant income and the above benefits make this complex a very attractive business.,Net Profit: $228,000,Asking Price: $1,550,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this management rights business for sale contact:,Exclusive Broker,Mark Neale,Servicing QLD "," Stand alone townhouse, Air conditioning, Large outdoor area and back yard
                       ","Yes,", 3 weeks ago., 3879957
"Aspley,",1068000,440000,0.41,113686,103447,5.5,"25 years,","24 years,","0 years,",84,1231.51,64,4,2559.75,0,16,3,2, 1,0," No office hours required,
                        ", Joy Realty,"Rodney Li,Rodney Li"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3880106,"Mostly caretaking, with potential of building up your lettings
              ","Unbeatable management right business with 84 units complex but only 4 letting pools to manage. No worry at all for losing lettings (but full potential to increase lettings from outside agents). You only need to take care of limited garden and a tiny swimming pool.,Great body corporate relationship, just topped up to 25 years last year. Great salary with 3% annual increase. Great location with no office hour. What are you waiting for? Be quick!!! "," 
                       ","No,", 5 days ago., 3880106
"Carseldine,",700000,460000,0.66,59348,47055,4.0,"25 years,","24 years,","15 years,",30,1568.5,19,10,1229.3,0,1,4,2, 3,1," NIL,
                        ", Raine & Horne Onsite Rights,"Joanne Piercy,Joanne Piercy"," Mainly Caretaking income with a small letting pool. The current manager is selling  due to family commitments.Located close to bus, trains, shops and quality schools and only 14 kilometres to the City. Very well maintained complex enabling a smooth transition for the incoming purchaser.Easy care grounds with everything centrally located for ease of operation.Perfect for mangers looking to downsize or for  new comers to the industry looking for a complex that will give them the experience required to buy a larger business later. There is no need to sell up and move as this complex could easily be run in conjunction  with an add on business.
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Carseldine-QLD-3880117,"No Requirement to live on site
              ",," On offer with this business is an extremely appealing 4 bedroom Residence with a large private yard and covered alfresco area that will easily accommodate all of your extended family and friends. One of those rare management rights businesses that has a home that you will not want to leave. However for those who not wanting to live on site , the Residence is set up perfectly with a separate entrance to the office making it a very appealing rental proposition.
                       ","Yes,", 2 months ago., 3880117
"Greater Brisbane Region,",455000,0,0.0,102500,30700,4.4,"25 years,","23 years,","5 years,",35,877.14,0,33,2175.76,0,2,0,0, 0,0," None on Agreements,
                        ", Mr Brady (Management Rights),"Don Brady,Don Brady"," Low Maintenance, No Pool, No Facilities, Easily Rented, No Managers Unit to Buy,
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Kallangur-QLD-3882268,"UNDER OFFER
              ","UNDER OFFER,This is an easily run complex with no unit to purchase. There are no facilities to look after and the current owners have a mower man that will continue on if required. ,The complex consists of 35 units of which 33 are in the pool with the other 2 being outside agents. These numbers have been consistent for 5 years. Rentals are easy to come by with these units being under the National Rental Affordability Scheme. ,All units within the complex are 3 bedroom 2 bathroom townhouses and 4 have double lock-up garages and the rest are single lock-up.,Call now for more information and an inspection time. "," NO UNIT TO PURCHASE
                       ","Yes,", 1 week ago., 3882268
"ALGESTER,",1615000,540000,0.33,215000,80102,5.0,"25 years,","20 years,","0 years,",68,1177.97,22,45,2997.73,0,0,4,0, 0,1," ,
                        ", Raas Group,"Jim Prentice,Jim Prentice"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/ALGESTER-QLD-3880280,"MANAGEMENT RIGHTS.. HOME&BUSINESS OPPORTUNITY IN GREAT LOCATION
              ","THE BUSINESS consists of a 13 year old complex with just over 65% of the units in the Manager's rental pool. Enquiries for rentals is steady with very little down-time and the mix of three and four bedroom units are popular with tenants.  The grounds have just been freshly mulched.  Exterior painting of the buildings is all but complete.  A fresh clean presentation of the complex and nothing major to do for the forseeable future. ,THE MANAGER'S RESIDENCE: Sitting on an elevated lot and presented in impeccable condition this 4 bedroom, 3 bathroom stand-alone house will appease the most discerning of buyers. Large ground floor open plan living flows out to a big covered patio area and a fully fenced grassed yard. A new kitchen upgrade was done in 2017 along with new granite topped vanities in the bathrooms and ensuite. Upstairs provides four generously sized bedrooms and two bathrooms. A balcony extends off the main. Air conditioning and fans installed.,The Vendors are continuing their connection to the Management Rights Industry and have purchased another complex, offering this complex for sale. Intending purchasers should consider making offers above $1,615,000,This is a very good business in a great location Please contact your RAASRights Broker, Jim Prentice E   today to make an appointment to inspect., "," 
                       ","No,", 1 month ago., 3880280
"Upper Mount Gravatt,",551700,459000,0.83,37080,27000,2.5,"25 years,","13 years,","0 years,",20,1350.0,12,6,1680.0,0,2,3,3, 1,0," none,
                        ", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie"," Pool
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/UpperMountGravatt-QLD-3881664,"Beginner Opportunity in Upper Mount Gravatt with 3 Bedroom Townhouse | Resort Brokers ID : MR005346
              ",This opportunity is a great starter business for industry beginners or a perfect add on opportunity for a local operator. You will have a combination of lifestyle and flexibility here with no set hours and walking distance to all the wonderful facilitates that Mount Gravatt and Garden City have to offer!," 198sqm, 3 bedrooms, 2.5 bathrooms, master with 2 separate walk-in wardrobes and sitting room, master with own balcony, garage, modern kitchen, private outdoor courtyard,
                       ","yes,", 1 month ago., 3881664
"Teneriffe,","$1,550,000 INCLUDES APARTMENT",900000,0,135384,106791,4.8,"10 years,","9 years,","16 years,",66,1618.05,0,10,2859.3,0,0,2,2, 1,1," NO SET OFFICE HOURS,
                        ", RCA Business Brokers,"ROD ASKEW AND ERIC BRIZUELA,ROD ASKEW AND ERIC BRIZUELA"," SWIMMING POOL, BBQ AREA, SECURE PARKING
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/Teneriffe-QLD-3881718,"ABSOLUTE RIVER FRONT WITH NO SET OFFICE HOURS.
              ","$135,384 Nett Income,No requirement to live onsite,No set office hours,$106,791 caretaking fee,Very modern and spacious apartment with Brisbane River views,Established strong rents "," Very modern 2 bedroom main with ensuite, 2 bathroom, air conditioned large open living area, spacious apartment with Brisbane River views.
                       ","No,", 1 month ago., 3881718
"Eight Mile Plains,",540000,410000,0.76,37375,33207,3.5,"25 years,","16 years,","0 years,",16,2075.44,0,4,1042.0,0,0,3,2, 1,1," No office hours required,
                        ", Joy Realty,"Kobe Xu,Kobe Xu"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881892,"Great Investement Opportunity at Eight Mile Plains
              ","This Complex is located at Eight Mile Plains, Only 3 minutes drive to Market Square Sunnybank,No swimming pool, no BBQ, no office hour required. it is easily serviced and maintained. ,Most part of income is from BC salary, very stable. Easy to topup, successed topup twice already. ,Really low multiplier for only 3.21x. "," 
                       ","No,", 5 days ago., 3881892
"SOUTH BRISBANE,",890400,0,0.0,168000,118035,5.3,"20 years,","15 years,","0 years,",68,1735.81,25,20,2498.25,0,0,0,0, 0,1," ,
                        ", Raas Group,"Robert Collins,Robert Collins"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/SOUTHBRISBANE-QLD-3883603,"South Brisbane's Best Complex
              ","This magnificent complex is positioned in a very highly sought out location with stunning views of the South Bank Parklands and Brisbane River. Exotic out door dinning and so many restaurants to choose from, its no wonder why South Bank is a popular place to visit.,The complex consists of 68 modern finished apartments over six levels with generous sizes balconies offering incredible views.  The one bedroom, two bedroom, and three bedroom apartments are a credit to the quality of the complex very high standard fixtures and fittings and finishes. These stylish and spacious designer apartments incorporate a host of mod cons such as reverse cycle air conditioning, quality stainless steel appliances and stone bench tops. ,This is a Business only management rights with a very strong body corporate salary. There is no real estate to purchase the current vendor live onsite in a two bathroom unit agreement is the manager rents this unit within the complex,This complex is location, location, location call me today and dont miss out,The BC salary consists of $23,607 for the commercial section and $94,428 for the residential Total $118,035,Robert Collins,Exclusive Agent on  or , "," 
                       ","Yes,", 1 week ago., 3883603
"East Brisbane,",1383717,0,0.0,318926,120650,4.3,"25 years,","25 years,","0 years,",127,950.0,0,102,1943.88,0,0,2,0, 0,0," ,
                        ", Resort Brokers,"Gareth Closter,Gareth Closter"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/EastBrisbane-QLD-3836940,"Business Only Management Rights - 23% Return!  | Resort Brokers ID : OTP004377
              ","It was only a matter of time before the trendy suburb of East Brisbane saw the emergence of a building of this quality. The Welllington is a unique retail and living management rights (genuine business only), located in the heart of the suburb. Due for completion in October 2017, it presents a perfect opportunity for an experienced operator to add to their growing portfolio."," 
                       ","no,", 2 years ago., 3836940
"Bowen Hills,",1452443,0,0.0,382230,0,3.8,"25 years,","25 years,","0 years,",,0,0,,0,0,0,0,0, 0,0," ,
                        ", Resort Brokers,"Nathan Eades,Nathan Eades"," 
                       ",https://www.TheOnsiteManager.com.au/permanent-management-rights/BowenHills-QLD-3845448,"Designer Apartments in Elevated Inner City Location - Business Only OTP MLR | Resort Brokers ID : OTP004472
              ","Omega Apartments consists of 130 spacious one and two bedroom apartments located within the $2.9 billion RNA urban renewal precinct. All of the apartments include spacious balconies, a secure car park and the two bedroom apartments comprise two bathrooms. Omega Apartments has four podium car park levels and 13 residential levels commencing on level five."," 
                       ","no,", 1 year ago., 3845448
