other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
,Not provided,https://www.realestate.com.au/property-house-qld-jindalee-424574498,"Garage Spaces:,1","<span class=""rate""></span>",54 Curragundi54 Curragundi Road,,4074,"[424574498, 424574498]",Contact David Brinkwall to view this property - 0418 881 234.,House,Huge back yard and centrally located.,,3,1,"[datetime.date(2018, 9, 26)]",Bridget Mills,"<span class=""price""></span>",Available Now,1,Jindalee,More Estate Agents - JINDALEE,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",https://www.realestate.com.au/floorplan_new.ds?id=424493170&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-darra-424493170,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",86/20 Sanflex Street,,4076,"[424493170, 424493170]",FOR A LIMITED TIME WE ARE OFFERING 1 WEEK FREE RENT AND $100 GIFT VOUCHER IF YOU START YOUR LEASE PRIOR TO THE END OF SEPTEMBER 2018!,Townhouse,ONE WEEK FREE RENT & $100 GIFT VOUCHER FOR LEASE START PRIOR TO END OF SEPTEMBER 2018!,"$1,480",3,1,"[datetime.date(2018, 9, 26)]",Steve Dunn,"<span class=""price""></span>",Available Now,2,Darra,RAAS Group,"Toilets:,3,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops",https://www.realestate.com.au/floorplan_new.ds?id=424363406&theme=rea.rent,https://www.realestate.com.au/property-house-qld-jamboree+heights-424363406,"Carport Spaces:,1","<span class=""rate""></span>",44 Galleon Street,Pet Friendly,4074,"[424363406, 424363406]","Ray White Centenary proudly offers for rent this beautiful home, recently very tastefully renovated almost throughout, complete with quality fixtures and appliances. With a stunning brand new modern kitchen, fresh paint and new flooring, this is a home to be proud of. ",House,BEAUTIFULLY RENOVATED 3 BEDROOM HOME,"$1,540",3,1,"[datetime.date(2018, 9, 26)]",Debbie Swales,"<span class=""price""></span>",Available Now,1,Jamboree Heights,Ray White - Centenary,"Toilets:,1,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-riverhills-424594206,"Secure Parking,Carport Spaces:,1,Garage Spaces:,2,Courtyard,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",38 Tigris St,,4074,"[424594206, 424594206]","When you walk into this property you will feel the sense of space.  Offering a large living room with air conditioning, kitchen meals area with dishwasher and electric cooking.",House,IF YOU ARE LOOKING FOR SPACE AND A GRANNY FLAT - THIS HOME IS FOR YOU,,4,3,"[datetime.date(2018, 9, 26)]","Adam Workman,Katy Lightwood","<span class=""price""></span>",Available Now,4,Riverhills,RE/MAX Ignite - RIVERHILLS,"Ensuite:,1,Toilets:,1,Study,Built-in Wardrobes,Pay TV Access,Dishwasher,Air Conditioning"
"Internal Laundry, Close to shops, Close to transport",Not provided,https://www.realestate.com.au/property-house-qld-inala-409732815,"Carport Spaces:,1,Garage Spaces:,1","<span class=""rate""></span>",16 Spoonbill Street Inala,Pet Friendly,4077,"[409732815, 409732815]","This well presented spacious three bedroom home is close to all amentities such as the Primary School, Public Transport and ONLY mintues away from the motorway to the City. ",House,Beautiful Family Home ; INCLUDES SOLAR,"$1,340",3,2,"[datetime.date(2018, 9, 26)]",Reception Team,"<span class=""price""></span>",Available Now,1,Inala,Your Choice Realty - Forest Lake,Air Conditioning
"Close to Schools, Close to Shops, Close to Transport, Separate Dining",Not provided,https://www.realestate.com.au/property-house-qld-graceville-422078614,"Secure Parking,Carport Spaces:,2,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",259 Verney Road East,Pet Friendly,4075,"[422078614, 422078614]","This three bedroom, 2 bathroom home is situated in the heart of Graceville in close proximity to shops, train, restaurants and schools. Modern kitchen with dishwasher. Air-conditioned lounge. Easy access to the rear covered deck from the dining room.",House,RENOVATED HOME WITH A POOL IN THE HEART OF GRACEVILLE,"$1,960",3,2,"[datetime.date(2018, 9, 26)]",Rentals Department,"<span class=""price""></span>",Available Now,2,Graceville,Poulsen Property - Graceville,"Floorboards,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=424610374&theme=rea.rent,https://www.realestate.com.au/property-townhouse-qld-sherwood-424610374,"Remote Garage,Secure Parking,Garage Spaces:,1,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",2/27 Jerrold Street,,4075,"[424610374, 424610374]","This luxury two-storey townhouse offers contemporary apartment living, located within a small complex, walking distance to Sherwood and Corinda villages, train stations, shops and schools. ",Townhouse,Meticulously presented townhouse a Rare find in Sherwood.,"$2,300",4,1,"[datetime.date(2018, 9, 26)]","Jaclyn Lazarou,Jonathan Najarro","<span class=""price""></span>",Available Now,2,Sherwood,Place - Graceville,"Ensuite:,1,Living Areas:,1,Toilets:,3,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-corinda-424722202,"Carport Spaces:,2,Deck,Fully Fenced,Swimming Pool - Inground","<span class=""rate""></span>",65 Gray Avenue,,4075,"[424722202, 424722202]","This is a fabulous family home, offering a great entertaining space, beautiful veranda and a sparkling inground pool. ",House,This classic Queenslander is ready for a new family to make it their own with a pool!,"$2,580",4,2,"[datetime.date(2018, 9, 26)]","Jonathan Najarro,Jaclyn Lazarou","<span class=""price""></span>",Available Now,1,Corinda,Place - Graceville,"Living Areas:,1,Floorboards,Built-in Wardrobes,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-oxley-422261534,"Garage Spaces:,1","<span class=""rate""></span>",18/11 Oakmont Ave,,4075,"[422261534, 422261534]","Grab this chance to enjoy a quiet and lifestyle home located in a secure-gated, convenient complex with large swimming pool and BBQ facility. This property has 3 large bedrooms all with built-in wardrobes. The Blunder road shopping center is just next to complex. ",Townhouse,Spacious townhouse 2 minute walk to Aldi shopping centre,"$1,380",3,1,"[datetime.date(2018, 9, 26)]",Betty Jia,"<span class=""price""></span>",Mon 19-Nov-18,1,Oxley,nextrealty.com.au,"Toilets:,2"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Ceiling fans",Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424581438,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",12/280 Government Road,,4077,"[424581438, 424581438]","This brand new, 3 bedroom townhouse is available for rent NOW.",Townhouse,Brand New - Ready for Occupancy,"$1,620",3,1,"[datetime.date(2018, 9, 26)]",Bob Stalling,"<span class=""price""></span>",Available Now,2,Richlands,Raine & Horne - Onsite Sales,"Toilets:,3,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=422445918&theme=rea.rent,https://www.realestate.com.au/property-apartment-qld-sherwood-422445918,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",301/564 Sherwood Road,,4075,"[422445918, 422445918]","South-facing, spacious two-bedroom, two-bathroom apartment offering quiet/private living in Sherwood. This apartment is located on the fourth level of 'Verandah on Sherwood', a recently completed five-level boutique complex in the heart of Sherwood. It is positioned in very close proximity to highly regarded schools, great retail shops and cafes, fabulous restaurants and the convenience of bus/rail transport.",Apartment,MODERN SHERWOOD LIVING,"$1,560",2,1,"[datetime.date(2018, 9, 26)]",Rentals Department,"<span class=""price""></span>",Tue 23-Oct-18,2,Sherwood,Poulsen Property - Graceville,Air Conditioning
"Built-In Wardrobes, Close to Shops, Close to Transport, courtyard,  backyard maintained",Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424774914,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground","<span class=""rate""></span>",10 Yugumbir Street,,4077,"[424774914, 424774914]",*** Please contact us to arrange a viewing.,Townhouse,SPACIOUS AND COMFORTABLE TOWNHOUSE-Close to Trains,"$1,420",3,1,"[datetime.date(2018, 9, 26)]",Sharon Wendt,"<span class=""price""></span>",Fri 05-Oct-18,2,Richlands,Raine & Horne - Onsite Sales,"Toilets:,3,Air Conditioning"
"balcony/patio/terrace,bath",https://www.realestate.com.au/floorplan_new.ds?id=414189635&theme=rea.rent,https://www.realestate.com.au/property-house-qld-inala-414189635,"Carport Spaces:,1","<span class=""rate""></span>",8 Aquarius Street,,4077,"[414189635, 414189635]","This great 3 bedroom home, is well maintained & is ready to move into, would suit a couple or even a single person. Carport, Fully fenced yard. Security Screens. This property is Water Compliant so full waterage usage will be charged. Inspections are by appointments only.",House,Ready to move in Early September,,3,1,"[datetime.date(2018, 9, 26)]",Property Management Team,"<span class=""price""></span>",Available Now,1,Inala,Coulson Real Estate - Inala,
,Not provided,https://www.realestate.com.au/property-house-qld-sinnamon+park-421929766,"Remote Garage,Garage Spaces:,2","<span class=""rate""></span>",70 SINNAMON ROAD,,4073,"[421929766, 421929766]","This beautifully designed and maintained home will not last long. Offering spacious, open living areas, lovely easy maintenance gardens and the perfect position, plus a fresh update including a fresh coat of paint, new carpets and kitchen appliances - this stunning home is sure to make you fall in love!",House,IMMACULATE WINDERMERE ESTATE HOME,,5,2,"[datetime.date(2018, 9, 26)]",Rentals - Centenary Real Estate,"<span class=""price""></span>",Wed 07-Nov-18,3,Sinnamon Park,Centenary Real Estate - Jindalee,
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424775610,"Garage Spaces:,2","<span class=""rate""></span>",22/164 Government Rd,,4077,"[424775610, 424775610]",Alton Edition 22/164 Government Road Richlands,Townhouse,22/164 Government Rd Richlands,,3,2,"[datetime.date(2018, 9, 26)]",Emily Hood,"<span class=""price""></span>",Tue 06-Nov-18,3,Richlands,Azure Living - QLD,
,Not provided,https://www.realestate.com.au/property-unit-qld-sherwood-424781802,"Garage Spaces:,1,Balcony","<span class=""rate""></span>",445 Oxley Road,Pet Friendly,4075,"[424781802, 424781802]",Large (80sq.m) high quality ground floor unit with private courtyard and no stairs for access.,Unit,Ground floor private unit,"$1,660",2,1,"[datetime.date(2018, 9, 26)]",Damian Bourke,"<span class=""price""></span>",Available Now,2,Sherwood,THEONSITEMANAGER - Hendra,"Intercom,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-423390954,"Remote Garage,Carport Spaces:,1,Garage Spaces:,1","<span class=""rate""></span>",17/15 James Edward Street,,4077,"[423390954, 423390954]","This spacious townhouse which is close to the Richlands Railway Station, Woolworths, Local pharmacy, McDonald's, Master's, West Brisbane Tennis Centre and Richlands AMF Bowling. Inala Plaza is only 5min drive away. For your ultimate lifestyle, perfect for commuters, only 2 mins to M5 Centenary Highway.",Townhouse,17/15 James Edward St. Richlands,,3,2,"[datetime.date(2018, 9, 26)]",Richlands Rise,"<span class=""price""></span>",Thu 11-Oct-18,2,Richlands,Australian Property Management Alliance - Mango Hill,"Ensuite:,1,Toilets:,3"
0,Not provided,https://www.realestate.com.au/property-house-qld-oxley-424782026,"Secure Parking,Garage Spaces:,1,Courtyard","<span class=""rate""></span>",16 Thornburgh Street,,4075,"[424782026, 424782026]","- Sorry, no pets",House,OXLEY,"$2,040",4,1,"[datetime.date(2018, 9, 26)]",Cartwright Property Group,"<span class=""price""></span>",Thu 08-Nov-18,2,Oxley,Cartwright Property Group - GRACEVILLE,"Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning"
,https://www.realestate.com.au/floorplan_new.ds?id=424775714&theme=rea.rent,https://www.realestate.com.au/property-apartment-qld-sherwood-424775714,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",6 Quarry Road,Pet Friendly,4075,"[424775714, 424775714]","Sherwood Residences offers you the perfect opportunity to live in a secure private landscaped environment close to everything including schools, shopping and sporting facilities!",Apartment,Massive 2 bedroom,"$1,800",2,1,"[datetime.date(2018, 9, 26)]",Paul Teoh - Sherwood Residences,"<span class=""price""></span>",Wed 10-Oct-18,2,Sherwood,JLL QLD Pty Ltd,"Ensuite:,1,Intercom,Study,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Split-system Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-inala-424784758,,"<span class=""rate""></span>",25 Rosella Street,,4077,"[424784758, 424784758]","This neat and tidy three bedroom home has an AIR-CONDITIONED main bedroom which is great for shift workers. The bedrooms are spacious  and 1 bedroom has a free standing robe.  The house overlooks a flat, grassy back yard. Close to schools, shops and bus services. Call  our friendly staff today to book in for an inspection!",House,AIR CONDITIONED MAIN BEDROOM!,"$1,260",3,,"[datetime.date(2018, 9, 26)]",Rental Domain,"<span class=""price""></span>",Mon 08-Oct-18,1,Inala,Rental Domain - GOODNA,"Toilets:,1,Floorboards,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-oxley-424787426,"Garage Spaces:,2,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",8 Valance Street,Pet Friendly,4075,"[424787426, 424787426]",EXPRESSION OF INTEREST – ,Townhouse,SPACIOUS LUXURIOUS TOWNHOME WITH BALCONY,"$1,840",3,2,"[datetime.date(2018, 9, 26)]",Wistaria Mo,"<span class=""price""></span>",Sat 27-Oct-18,2,Oxley,THEONSITEMANAGER - Hendra,Air Conditioning
,Not provided,https://www.realestate.com.au/property-house-qld-mount+ommaney-416706573,"Garage Spaces:,3","<span class=""rate""></span>",3 CUNNINGHAM COURT,Pet Friendly,4074,"[416706573, 416706573]",Welcome to your own private resort style home - wait 'til you see what is on offer!,House,COME HOME TO YOUR OWN PRIVATE RESORT!,,4,3,"[datetime.date(2018, 9, 26)]",Rentals - Centenary Real Estate,"<span class=""price""></span>",Tue 23-Oct-18,2,Mount Ommaney,Centenary Real Estate - Jindalee,
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424788794,"Garage Spaces:,2,Swimming Pool - Inground","<span class=""rate""></span>",10 McEwan Street,,4077,"[424788794, 424788794]",Modern double garage and Double Air Conditioners town home with extra car parks.,Townhouse,Modern double garage double air con.  townhouse - Excellent location,"$1,500",3,2,"[datetime.date(2018, 9, 26)]",Angus Wang,"<span class=""price""></span>",Available Now,2,Richlands,THEONSITEMANAGER - Hendra,Air Conditioning
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424794418,"Carport Spaces:,2","<span class=""rate""></span>",149/88 littleton rd,,4077,"[424794418, 424794418]","This nearly new contemporary villa is within the prestigious commuity - Villaggio. It's conveniently situated to all the amenities: schools, supermarkets, shopping centres, bus stop and train station:",Townhouse,"Popular Villa in a top location, be quick!","$1,460",3,2,"[datetime.date(2018, 9, 26)]",Eric Chen,"<span class=""price""></span>",Available Now,2,Richlands,nextrealty.com.au,"Toilets:,2"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-house-qld-oxley-424794358,"Garage Spaces:,1","<span class=""rate""></span>",3/10 Costalot Street,,4075,"[424794358, 424794358]",This modern townhouse in Oxley has the following features,House,Townhouse in Oxley,"$1,580",3,1,"[datetime.date(2018, 9, 26)]",Leasing Oxley,"<span class=""price""></span>",Tue 16-Oct-18,2,Oxley,Tessa Residential - NINGI,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424795806,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground","<span class=""rate""></span>",51/83 OLD PROGRESS ROAD,,4077,"[424795806, 424795806]","*****Please noted, Applicant must prove yourself to be eligible to apply this unit. NRAS Reference number is required***** ",Townhouse,Very Rare Opportunity Under NRAS Scheme - Modern 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"$1,160",3,1,"[datetime.date(2018, 9, 26)]",Michael Cai,"<span class=""price""></span>",Wed 23-Oct-19,3,Richlands,Raine & Horne - Onsite Sales,"Toilets:,3,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-oxley-424794786,"Remote Garage,Garage Spaces:,2,Fully Fenced","<span class=""rate""></span>",3 Krystelle Close,,4075,"[424794786, 424794786]","Located on a level 404m2, this wonderfully designed 4 bedroom home is perfect for a growing family. ",House,Well-appointed Family Home!,"$2,040",4,2,"[datetime.date(2018, 9, 26)]",Jess Cleveland,"<span class=""price""></span>",Tue 02-Oct-18,2,Oxley,Coronis - LUTWYCHE,"Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-sinnamon+park-424736762,"Carport Spaces:,1,Garage Spaces:,1","<span class=""rate""></span>",,,4073,"[424736762, 424736762]","This two-storey townhouse in situated in the Buena Vista Complex close to Mt Ommaney Shopping Centre, public transport, schools and easy access to the western freeway.",House,Beuna Vista Townhouse,,3,2,"[datetime.date(2018, 9, 26)]",Centenary Jindalee,"<span class=""price""></span>",Fri 23-Nov-18,2,Sinnamon Park,Centenary Real Estate - Jindalee,"Ensuite:,1,Toilets:,3,Built-in Wardrobes"
0,Not provided,https://www.realestate.com.au/property-house-qld-corinda-424740650,"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Deck","<span class=""rate""></span>",5 Gosfield Street,,4075,"[424740650, 424740650]","-Sorry, no pets",House,CORINDA,"$1,780",3,2,"[datetime.date(2018, 9, 26)]",Cartwright Property Group,"<span class=""price""></span>",Tue 16-Oct-18,1,Corinda,Cartwright Property Group - GRACEVILLE,"Broadband Internet Available,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424743598,"Remote Garage,Garage Spaces:,1,Open Car Spaces:,1","<span class=""rate""></span>",04/15 James Edward Street,,4077,"[424743598, 424743598]","Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!",Townhouse,04/15 James Edward Street Richlands,,3,2,"[datetime.date(2018, 9, 26)]",Richlands Rise,"<span class=""price""></span>",Wed 10-Oct-18,2,Richlands,Australian Property Management Alliance - Mango Hill,"Ensuite:,1,Toilets:,3"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, courtyard",Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-417815670,"Secure Parking,Garage Spaces:,1,Balcony,Swimming Pool - Inground","<span class=""rate""></span>",137 Progress Road,,4077,"[417815670, 417815670]",Please contact us for a viewing. ,Townhouse,NEAR NEW TOWNHOUSE -  MINUTES FROM TRAIN AND BUSES  IN VERY QUIET COMPLEX,"$1,440",3,1,"[datetime.date(2018, 9, 26)]",Sharon Wendt,"<span class=""price""></span>",Mon 08-Oct-18,2,Richlands,Raine & Horne - Onsite Sales,"Toilets:,3,Air Conditioning"
"close to schools,close to shops,close to transport",Not provided,https://www.realestate.com.au/property-house-qld-inala-424741194,"Carport Spaces:,1,Open Car Spaces:,1,Shed","<span class=""rate""></span>",3 Goldfinch Street,,4077,"[424741194, 424741194]","This 3 bedroom home has been freshly painted throughout, Kitchen/dining area has vinyl and new timber laminate throughout, air conditioning in the lounge to be installed soon, with ceiling fans in the 2 bedroom. Security screen doors front and back with fly screens/ security grills throughout. Fully fenced front and back yard with a single carport.",House,Close to all conviences,,3,2,"[datetime.date(2018, 9, 26)]",Property Management Team,"<span class=""price""></span>",Available Now,1,Inala,Coulson Real Estate - Inala,"Built-in Wardrobes,Air Conditioning"
Property Type: House Floor Area: squares: 637,Not provided,https://www.realestate.com.au/property-house-qld-inala-424741490,"Garage Spaces:,2","<span class=""rate""></span>",147 Azaela Street,,4077,"[424741490, 424741490]","This beautiful double story brick home close to amenities, schools, churches and parks has the following features; ",House,Large Family Home In Great Location,"$1,840",4,2,"[datetime.date(2018, 9, 26)]",Harcourts South West BDM,"<span class=""price""></span>",Wed 10-Oct-18,3,Inala,Harcourts Centenary Suburbs - Mt Ommaney,"Living Areas:,2"
,Not provided,https://www.realestate.com.au/property-house-qld-sinnamon+park-405308476,"Garage Spaces:,2","<span class=""rate""></span>",56 Angus Street,,4073,"[405308476, 405308476]","A very nice family home, high on the hill in popular Sinnamon Park. Spacious with lots of special features. Only minutes to all the amenities you could need including main bus route and only 15kms to Brisbane CBD. A must see!",House,IF YOUR LOOKING FOR SOMETHING NICE...,,4,2,"[datetime.date(2018, 9, 26)]",Centenary Real Estate,"<span class=""price""></span>",Available Now,2,Sinnamon Park,Centenary Real Estate - Jindalee,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-townhouse-qld-oxley-423178134,"Secure Parking,Garage Spaces:,1","<span class=""rate""></span>",26/10 Chapman Place,,4075,"[423178134, 423178134]",Exclusive townhouse community is neat and tidy all year round and a must to inspect.,Townhouse,"3 BEDROOM, 2 BATHROOM, 1 GARAGE TOWNHOUSE IN QUIET COMPLEX","$1,580",3,1,"[datetime.date(2018, 9, 26)]",Ethan Fei,"<span class=""price""></span>",Sat 29-Sep-18,2,Oxley,RAAS Group,"Toilets:,3,Alarm System,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-sumner-410720755,"Garage Spaces:,2","<span class=""rate""></span>",9 Copmanhurst Place,,4074,"[410720755, 410720755]","Four bedrooms, all with built-in wardrobes and ceiling fans, master with ensuite, carpeted formal lounge room, spacious kitchen with breakfast bar, ceramic cook top, stainless steel oven and dishwasher, large tiled and air condtioned dining/family room opening up to the private tiled al fresco area at rear. Low maintenance landscaped yard, fully fenced at the rear. Remote double lock up garage with internal entry. New paint and carpet and security screens to be installed.",House,"Stylish Family Home - New Paint, Carpet and Security Screens","$1,960",4,2,"[datetime.date(2018, 9, 26)]",Peter Kilby,"<span class=""price""></span>",Available Now,2,Sumner,Maison Real Estate -  Mount Ommaney,
,Not provided,https://www.realestate.com.au/property-unit-qld-riverhills-424689874,"Garage Spaces:,1","<span class=""rate""></span>",46B Sawmill Circuit,,4074,"[424689874, 424689874]",Inspect now and secure this neat home located in the new Riverhills Estate. ,Unit,SNUG BUT STYLISH,"$1,320",2,1,"[datetime.date(2018, 9, 26)]",Guardian Wacol,"<span class=""price""></span>",Tue 20-Nov-18,2,Riverhills,Guardian Property & Asset Mgmt - Brisbane,
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424691226,"Secure Parking,Garage Spaces:,1,Swimming Pool - Inground","<span class=""rate""></span>",83 OLD PROGRESS ROAD,,4077,"[424691226, 424691226]",This beautiful Near new townhouse has great features including:,Townhouse,MODERN 3 BEDROOM TOWNHOUSE LOCATED IN RICHLANDS,"$1,400",3,1,"[datetime.date(2018, 9, 26)]",Michael Cai,"<span class=""price""></span>",Fri 28-Sep-18,3,Richlands,Raine & Horne - Onsite Sales,"Toilets:,3,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424690878,"Remote Garage,Garage Spaces:,1,Fully Fenced","<span class=""rate""></span>",161/70-90 Littleton Rd,,4077,"[424690878, 424690878]",***********************************************************************************,Townhouse,3 BEDROOM TOWNHOUSE ** NRAS PROPERTY **,"$1,108",3,1,"[datetime.date(2018, 9, 26)]",NAHC Browns Plains Office,"<span class=""price""></span>",Tue 09-Oct-18,2,Richlands,National Affordable Housing Consortium Ltd - South Brisbane,"Ensuite:,1,Built-in Wardrobes,Dishwasher"
,Not provided,https://www.realestate.com.au/property-house-qld-darra-424691722,"Carport Spaces:,2","<span class=""rate""></span>",16 Bradford Street,,4076,"[424691722, 424691722]","This property is walking distance to shops and parks, close to local schools and public transport, with four decent sized bedrooms, newly renovated kitchen and bathroom , large living and dinning area, with everything at your fingertips this home is ideal for any family! ",House,Ideal Family Home!,,4,2,"[datetime.date(2018, 9, 26)]",Property Management Team,"<span class=""price""></span>",Available Now,1,Darra,Professionals P J Torbey Real Estate -,"Living Areas:,1"
,Not provided,https://www.realestate.com.au/property-house-qld-graceville-424694042,"Carport Spaces:,1","<span class=""rate""></span>",39 Dan Street,,4075,"[424694042, 424694042]",This lowset home is well positioned within a short walk to Graceville train station so leave the car at home and use public transport as buses also nearby.,House,Easy care lowset home and yard,"$2,100",3,1,"[datetime.date(2018, 9, 26)]",Samantha Whitton,"<span class=""price""></span>",Wed 10-Oct-18,2,Graceville,LITTLE Real Estate - FOREST LAKE,"Reverse-cycle Air Conditioning,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-jindalee-420499206,"Garage Spaces:,2,Open Car Spaces:,2","<span class=""rate""></span>",33 Minyara Street,Pet Friendly,4074,"[420499206, 420499206]",This great family home has been recently refreshed with new paint and carpets. With good separation of living areas this home is set up for family living. The fully fenced yard is perfect for the kids and or pets to explore and enjoy.,House,Refreshed family home in convenient Jindalee,"$1,900",4,4,"[datetime.date(2018, 9, 26)]",Innovation Rentals,"<span class=""price""></span>",Tue 16-Oct-18,3,Jindalee,Innovation Real Estate - Jamboree Heights,"Ensuite:,1,Study"
,Not provided,https://www.realestate.com.au/property-townhouse-qld-corinda-424697294,"Secure Parking,Garage Spaces:,1,Balcony,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",1/9 Railway Terrace,Pet Friendly,4075,"[424697294, 424697294]","Managed Property is SO excited to present to you this sublime 3 bedroom townhome, located just minutes away from Coles, local shops, restaurants and Corinda train station!",Townhouse,PERFECT LOCATION! LUXURY TOWNHOME!,"$1,960",3,1,"[datetime.date(2018, 9, 26)]","Jasmin Bradley,Breeanna Fechner","<span class=""price""></span>",Available Now,2,Corinda,Managed Property,"Study,Built-in Wardrobes,Dishwasher,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-house-qld-richlands-424700594,"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",1 Zerlotti Cl,,4077,"[424700594, 424700594]",This freshly painted modern home has become available to a lucky tenant.,House,LARGE MODERN HOME IN FABULOUS LOCATION!!!,"$1,720",4,2,"[datetime.date(2018, 9, 26)]",Yvette Shaw,"<span class=""price""></span>",Available Now,2,Richlands,Twenty Four Seven Realty - -,"Built-in Wardrobes,Dishwasher,Split-system Air Conditioning"
Built-In Wardrobes,Not provided,https://www.realestate.com.au/property-house-qld-sherwood-424702370,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",2/17 Mayhew Street,,4075,"[424702370, 424702370]",This two bedroom unit in Sherwood is available and has a open modern feeling to it. The property has the following features:,House,Modern Unit in great location,"$1,800",2,1,"[datetime.date(2018, 9, 26)]",Leasing Oxley,"<span class=""price""></span>",Available Now,2,Sherwood,Tessa Residential - NINGI,Air Conditioning
"Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-inala-424086190,"Garage Spaces:,1","<span class=""rate""></span>",75 Poinciana Street,,4077,"[424086190, 424086190]","This 3 bedroom home is set on a large block, with a large double car shed, plus additional carport and garden shed. ",House,BIG HOME WITH A LOT MORE THAN OTHERS,"$1,300",3,1,"[datetime.date(2018, 9, 26)]",Leasing Oxley,"<span class=""price""></span>",Available Now,1,Inala,Tessa Residential - NINGI,Air Conditioning
,Not provided,https://www.realestate.com.au/property-house-qld-riverhills-420183210,"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",59 Sawmill Circuit,Pet Friendly,4074,"[420183210, 420183210]",This near new home is packed full of inclusions for your family.,House,Near New Family Home,"$2,480",4,2,"[datetime.date(2018, 9, 26)]",Peter Kilby,"<span class=""price""></span>",Mon 01-Oct-18,2,Riverhills,Maison Real Estate -  Mount Ommaney,"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Rumpus Room,Ducted Cooling"
