address,agency,agent,agreement_age,agreement_remaining,agreement_term,complex_fetures,description,income,last_update,letting,look_ups,manager_bathroom,manager_bed,manager_car,multiplier,office,office_hour,outside_agents,owner_occupy,pets,price,property_id,remuneration,title,total_unit,unit_feature,unit_price,url
"Richlands,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","23 years,","25 years,"," 
                       ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! ",105077, 2 weeks ago.,,0,2,3, 2,4.9,1," None,
                        ",0,0,"No,",899000, 3878514,45271,"Simple and Easy!
              ",," 
                       ",375000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Richlands-QLD-3878514
"Spring Hill,", Raine & Horne Onsite Rights,"Mark Fluhart,Mark Fluhart","18 years,","20 years,","25 years,"," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. ",108884, 1 week ago.,22,0,2,2, 2,4.4,1," 0,
                        ",4,3,"No,",970000, 3859839,52890,"LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              ",31," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       ",490000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SpringHill-QLD-3859839
"Wynnum West,", Property Bridge,"Bobo Qi,Bobo Qi","18 years,","22 years,","25 years,"," Gated Townhouse Complex, Pool
                       ","This beautiful boutique bayside gated townhouse complex is five minutes away from the convenience of Wynnum Plaza and the waterfront.  ,Also, within close proximity are child care centres and public schools, whilst being only 15 minutes drive to the International and Domestic Airports.,A lovely garden setting makes this well maintained community a pleasure to call home with the manager having a generously sized 3 bedroom townhouse combined with large fenced back yard.,Generous body corporate salary of $65,000, with annual 3% increases, offers a stable  business income. ",95000, 2 months ago.,15,0,2,3, 2,4.8,1," none stated,
                        ",1,24,"Yes,",930000, 3879557,65000,"Lifestyle on the Bay
              ",40," Townhouse, Large back yard, 3 Bedroom, Spacious
                       ",470000,https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879557
"Greater Brisbane Region,", Mr Brady (Management Rights),"Don Brady,Don Brady","5 years,","23 years,","25 years,"," Low Maintenance, No Pool, No Facilities, Easily Rented, No Managers Unit to Buy,
                       ","UNDER OFFER,This is an easily run complex with no unit to purchase. There are no facilities to look after and the current owners have a mower man that will continue on if required. ,The complex consists of 35 units of which 33 are in the pool with the other 2 being outside agents. These numbers have been consistent for 5 years. Rentals are easy to come by with these units being under the National Rental Affordability Scheme. ,All units within the complex are 3 bedroom 2 bathroom townhouses and 4 have double lock-up garages and the rest are single lock-up.,Call now for more information and an inspection time. ",102500, 1 week ago.,33,0,0,0, 0,4.4,0," None on Agreements,
                        ",2,0,"Yes,",455000, 3882268,30700,"UNDER OFFER
              ",35," NO UNIT TO PURCHASE
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Kallangur-QLD-3882268
"Eight Mile Plains,", SIRE Management Rights,"Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong","9 years,","21 years,","25 years,"," 
                       ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ",243086, 1 week ago.,,0,2,4, 0,5.5,1," NO,
                        ",0,0,"No,",Contact the Sire team, 3881971,104046,"Great Lifestyle Business
              ",," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ",650000,https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881971
"Aspley,", Joy Realty,"Rodney Li,Rodney Li","0 years,","24 years,","25 years,"," 
                       ","Unbeatable management right business with 84 units complex but only 4 letting pools to manage. No worry at all for losing lettings (but full potential to increase lettings from outside agents). You only need to take care of limited garden and a tiny swimming pool.,Great body corporate relationship, just topped up to 25 years last year. Great salary with 3% annual increase. Great location with no office hour. What are you waiting for? Be quick!!! ",113686, 5 days ago.,4,0,2,3, 1,5.5,0," No office hours required,
                        ",16,64,"No,",1068000, 3880106,103447,"Mostly caretaking, with potential of building up your lettings
              ",84," 
                       ",440000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Aspley-QLD-3880106
"Carseldine,", Raine & Horne Onsite Rights,"Joanne Piercy,Joanne Piercy","15 years,","24 years,","25 years,"," Mainly Caretaking income with a small letting pool. The current manager is selling  due to family commitments.Located close to bus, trains, shops and quality schools and only 14 kilometres to the City. Very well maintained complex enabling a smooth transition for the incoming purchaser.Easy care grounds with everything centrally located for ease of operation.Perfect for mangers looking to downsize or for  new comers to the industry looking for a complex that will give them the experience required to buy a larger business later. There is no need to sell up and move as this complex could easily be run in conjunction  with an add on business.
                       ",,59348, 2 months ago.,10,0,2,4, 3,4.0,1," NIL,
                        ",1,19,"Yes,",700000, 3880117,47055,"No Requirement to live on site
              ",30," On offer with this business is an extremely appealing 4 bedroom Residence with a large private yard and covered alfresco area that will easily accommodate all of your extended family and friends. One of those rare management rights businesses that has a home that you will not want to leave. However for those who not wanting to live on site , the Residence is set up perfectly with a separate entrance to the office making it a very appealing rental proposition.
                       ",460000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Carseldine-QLD-3880117
"Gailes,", Management Rights Sales,"Mark Neale,Mark Neale","3 years,","22 years,","25 years,"," Gym, Storage, CCTV, NBN
                       ","Permanent Management Rights For Sale,This near new townhouse complex offers a wonderful opportunity for both first time buyers and experienced managers. Located in a rapidly growing suburb, you will find that this well run management rights business is a very attractive offering.,This business has many upsides for potential purchaser:,- Large and luxurious managers unit,- Very well appointed office and storage facility,- Large accountant verified rental base and income ($228,000 net),- No outside agents or owner occupiers,- Low maintenance gardens and common areas,- Gym for all residents to use,- Well established systems and procedures for easy transfer to a new manager,- Friendly and accommodating Body Corporate committee,- 23 of 25 years left on the caretaking agreement offering great security,- Excellent location, close to shops and public transport, quiet street in a desirable suburb, close to motorways for easy transit,With the current managers pricing this business to sell, this sort of complete package is not often seen and will present the incoming managers with great opportunities.,A significant income and the above benefits make this complex a very attractive business.,Net Profit: $228,000,Asking Price: $1,550,000,(Inclusive of managers real estate),For further information or to arrange an inspection of this management rights business for sale contact:,Exclusive Broker,Mark Neale,Servicing QLD ",228000, 3 weeks ago.,67,0,2,3, 4,5.0,1," No set office hours,
                        ",0,1,"Yes,","$1,550,000 - 15 MINUTES FROM BRISBANE AND SUNNYBANK", 3879957,84000,"HIGH INCOME - GREAT OPPORTUNITY : MANAGEMENT RIGHTS SALES - ID 8876
              ",68," Stand alone townhouse, Air conditioning, Large outdoor area and back yard
                       ",410000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Gailes-QLD-3879957
"Wynnum West,",,"Tony Hajjar,Tony Hajjar","15 years,","15 years,","25 years,"," Secure Storage Shed and Hardstand Boat/Caravan Storage. Latest digital CCTV surveillance.
                       ","Bayside location. RELAX and work from home. ENJOY the comforts of living in a house not a townhouse or apartment. Single Level. No steps or elevators. Your own backyard, patio and courtyard. Child, grandchild and pet friendly.,Conveniently located 5 minutes to the Wynnum Plaza Shopping Centre, Wynnum Golf Course, Gateway Bridge or coffee shops of Wynnum Central overlooking Moreton Bay.,Unlike managing apartments there is no pool or elevators to maintain, no vast common areas to maintain, minimal contact with tenants when assigned their own pin-access code. No property inspections to conduct. Minimal paperwork.,Can be run by a single or a couple. Current manager has run the business for over 10 years single handedly with ease. ,Don't fight the traffic any longer going to work. Work from home. Work for yourself. Enjoy your own back lawn, patios or courtyard and take in the cool bayside breezes in summer and warm winter sun in winter. ",153000, 4 days ago.,18,0,2,3, 1,4.1,1," Nil Listed,
                        ",0,0,"Yes,",1123800, 3879883,96707,"Relax and work from Home
              ",18," Spacious 3 bedroom house on large level , landscaped private back yard.
                       ",499000,https://www.TheOnsiteManager.com.au/permanent-management-rights/WynnumWest-QLD-3879883
"ALGESTER,", Raas Group,"Jim Prentice,Jim Prentice","0 years,","20 years,","25 years,"," 
                       ","THE BUSINESS consists of a 13 year old complex with just over 65% of the units in the Manager's rental pool. Enquiries for rentals is steady with very little down-time and the mix of three and four bedroom units are popular with tenants.  The grounds have just been freshly mulched.  Exterior painting of the buildings is all but complete.  A fresh clean presentation of the complex and nothing major to do for the forseeable future. ,THE MANAGER'S RESIDENCE: Sitting on an elevated lot and presented in impeccable condition this 4 bedroom, 3 bathroom stand-alone house will appease the most discerning of buyers. Large ground floor open plan living flows out to a big covered patio area and a fully fenced grassed yard. A new kitchen upgrade was done in 2017 along with new granite topped vanities in the bathrooms and ensuite. Upstairs provides four generously sized bedrooms and two bathrooms. A balcony extends off the main. Air conditioning and fans installed.,The Vendors are continuing their connection to the Management Rights Industry and have purchased another complex, offering this complex for sale. Intending purchasers should consider making offers above $1,615,000,This is a very good business in a great location Please contact your RAASRights Broker, Jim Prentice E   today to make an appointment to inspect., ",215000, 1 month ago.,45,0,0,4, 0,5.0,1," ,
                        ",0,22,"No,",1615000, 3880280,80102,"MANAGEMENT RIGHTS.. HOME&BUSINESS OPPORTUNITY IN GREAT LOCATION
              ",68," 
                       ",540000,https://www.TheOnsiteManager.com.au/permanent-management-rights/ALGESTER-QLD-3880280
"Browns Plains,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","22 years,","25 years,"," 
                       ","Great Complex,The Phil Usher built townhouses complex is situated in Brown Plains, a rapidly growing suburb offering convenient travel between Gold Coast and Brisbane via the Pacific and Logan motorways. ,Lovely swimming pool, entertainment area with undercover BBQ, well-equipped Gym will definitely be enjoyed in summer. ,Good rental and very popular for renters.,Handy Location,Conveniently located in a highly sought after position - a quiet and leafy road end environment, near Browns Plains shopping plaza precinct with specialty shopping, restaurants, cinemas and bus station serving all suburbs and the city.,Great Remuneration,$71,708 with annual adjustment of CPI,Long Agreement,Still 22 years left on agreement.,Fantastic Manager Residence,A very spacious size, standing alone, lowset villa with solar panels comfortably suits all your family's needs,- 896 m2 land size,- Fully fenced house with security,- Large backyard for big families,- Up to six car parks,- Self-contained granny flat which has been rented out at $260 per week,Good Size Office attached without office hours on agreement.,If you want to buy a big and solid income and lifestyle business, it ticks all your boxes, please book your inspection immediately with our NEXT team. ",195718, 2 weeks ago.,43,0,3,4, 6,5.1,1," None on Agreement,
                        ",3,16,"No,",1548000, 3876225,71708,"Good Permanent Management Rights in Brisbane Southside
              ",62," 
                       ",550000,https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3876225
"Fortitude Valley,", Shine Realty,"Celine Tseng,Celine Tseng","14 years,","21 years,","25 years,"," Swimming Pool, Barbecue
                       ",,135000, 1 week ago.,22,0,2,3, 2,4.5,1," No set office hours,
                        ",4,17,"Yes,",1277500, 3882897,68727,"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              ",43," 
                       ",670000,https://www.TheOnsiteManager.com.au/permanent-management-rights/FortitudeValley-QLD-3882897
"Teneriffe,", RCA Business Brokers,"ROD ASKEW AND ERIC BRIZUELA,ROD ASKEW AND ERIC BRIZUELA","16 years,","9 years,","10 years,"," SWIMMING POOL, BBQ AREA, SECURE PARKING
                       ","$135,384 Nett Income,No requirement to live onsite,No set office hours,$106,791 caretaking fee,Very modern and spacious apartment with Brisbane River views,Established strong rents ",135384, 1 month ago.,10,0,2,2, 1,4.8,1," NO SET OFFICE HOURS,
                        ",0,0,"No,","$1,550,000 INCLUDES APARTMENT", 3881718,106791,"ABSOLUTE RIVER FRONT WITH NO SET OFFICE HOURS.
              ",66," Very modern 2 bedroom main with ensuite, 2 bathroom, air conditioned large open living area, spacious apartment with Brisbane River views.
                       ",900000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Teneriffe-QLD-3881718
"Springwood,", Next International Realty Pty Ltd,"Patrick Leou - David Janett,Patrick Leou - David Janett","0 years,","19 years,","0 years,"," 
                       ","Live Onsite or Offsite, the choice is yours!,This complex still has 19 years on the agreement and offers excellent long-term permanent letting with a solid rental history record. We are talking over 65% of total units in the letting. Gated complex, ample visitor carpark, perfectly well maintain pool. Its a short stroll to your nearest shops / commercial complex. ,This complex is in the growth corridor for the Southside of Brisbane. It has the convenience to access the M1 Motorway in less than 2 minutes , 100 meters to city bus stop and a 20 minutes ride to CBD.,You have the choice to live onsite or rent out the managers unit for $300/week.,The managers unit offers a 2 bed, 1 bath and 2 toilet and a carport.,Office is detached from the unit with NO FIXED OFFICE HOURS, all by appointment!,There is an external toilet for the managers convenience.,This gated complex offers peace of mind withthe latest technology with automatic gate, intercom to each of the lots and security camera monitored remotely by the caretaker.,It also has a share pool with communal amenities, ample visitor carpark, good privacy space between each lot, wide road for traffic and walking around the complex if youlike the stroll after dinner. ,School Catchment:,St Edward the Confessor School,Springwood Central State School,Slacks Creek State School,Chatswood Hills State School,Mabel Park State High School          ,Come and check this one out. We think you will be impressed! ",140010, 3 weeks ago.,45,0,0,2, 0,4.8,1," None,
                        ",0,0,"No,",1070000, 3882644,70599,"Can live Offsite!!
              ",," 
                       ",325000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Springwood-QLD-3882644
"Eight Mile Plains,", Next International Realty Pty Ltd,"David Jiang,David Jiang","0 years,","20 years,","25 years,"," 
                       ","- Perfectly located in in the highly-sought after suburb of Eight Mile Plains,- Easy access to M1 and Gateway to Gold Coast,- Under 15 km to Brisbane CBD, 10 min thru M3,- About 350 m to Brisbane City Council bus stop,- About 2 km to Westfield Garden City Shopping Centre,- About 2 km to Eight MilePlains Busway Station,- About 9 km to Westfield Carindale Shopping Centre,- Well- presented complex provides the perfect environment to relax in,- Very well run business, all procedures documented,- Long agreement 20 years left on a 25 years accommodation module,- A great manager remuneration $31,500 with annual adjustment of CPI or 3%, which is higher,- Low caretaking workload, easy gardening, small pool, easy job for one person, about 5 hours per week,- Great Manager Residence - Freestanding Lowest s bedroom Villa with double remote lock up garage,-Within school catchment of Warrigal State School and Eight Mile Plains State School, also close to Macgregor High School, Runcorn High School, Redeemer Lutheran College and etc and numerous Childcare Centres,- Ideal for a family or semi-retired couple looking for a solid income and great lifestyle,Come and takea look we are sure you will be impressed! ",45177, 3 months ago.,,0,2,3, 2,3.9,0," None,
                        ",0,0,"Yes,",635000, 3851960,31500,"Cosy Lifestyle, Easy Income
              ",," 
                       ",458000,https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3851960
"Eight Mile Plains,", Joy Realty,"Kobe Xu,Kobe Xu","0 years,","16 years,","25 years,"," 
                       ","This Complex is located at Eight Mile Plains, Only 3 minutes drive to Market Square Sunnybank,No swimming pool, no BBQ, no office hour required. it is easily serviced and maintained. ,Most part of income is from BC salary, very stable. Easy to topup, successed topup twice already. ,Really low multiplier for only 3.21x. ",37375, 5 days ago.,4,0,2,3, 1,3.5,1," No office hours required,
                        ",0,0,"No,",540000, 3881892,33207,"Great Investement Opportunity at Eight Mile Plains
              ",16," 
                       ",410000,https://www.TheOnsiteManager.com.au/permanent-management-rights/EightMilePlains-QLD-3881892
