price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description 
$360 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/three_d_tour.ds?id=424727522&theme=rea.rent,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Cathy Slater,[424727522],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,41/125 Orchard Road,Modern townhouse in great location,"Secure Parking,Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424727522,Raine & Horne - Onsite Sales,Fri 02-Nov-18,$360 per week,Pet Friendly,"$1,440",Welcome to RICHLANDS GROVE
$395 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424733498&theme=rea.rent,[1],"Intercom,Air Conditioning",[2],Unit,,Damian Bourke,[424733498],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,445 Oxley Road,New 2 bedroom apartment,"Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424733498,THEONSITEMANAGER - Hendra,Available Now,$395 per week,Pet Friendly,"$1,580","Excellent central Sherwood location. Easy walk to train station, schools, kindergarten, churches, shops and cafes. "
$450 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424724338&theme=rea.rent,[2],"Toilets:,2,Intercom,Air Conditioning",[2],Unit,"Close to Schools, Close to Shops, Close to Transport, Lift Installed, Roller Door Access","Rent Central Sherwood,Ann Marie Lindeblad",[424724338],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,239/20 Egmont,Open plan living opening out to a generous balcony that overlooks the beautiful parkland,"Garage Spaces:,2",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424724338,RESTT Property Sales and Rentals - LOGAN CENTRAL,Available Now,$450 per week,,"$18,001",Want to be a close commute to the CBD and then come home to a peaceful haven and have a swim in a 20 metre lap pool?
$400 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],Duplex/Semi-Detached,,Guardian Wacol,[424711854],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,1/13 Pamphlett Street,PRIVATE UNIQUE & MODERN,"Garage Spaces:,2",Oxley,https://www.realestate.com.au/property-duplex+semi+detached-qld-oxley-424711854,Guardian Property & Asset Mgmt - Brisbane,Available Now,$400 per week,,"$1,600",This well appointed 3 bedroom home will tick all the boxes. 
$600 Weekly UNFURNISHED,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Daisy Dong,[424734210],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,39 Cityview Road,"Beautiful family home, spacious and private","Garage Spaces:,2",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-424734210,Australian Property Management Alliance - Mango Hill,Fri 28-Sep-18,$600 Weekly UNFURNISHED,,"$2,400","This solid, charming brick home is conveniently located in the heart of Sinnamon Park, tucked behind lush gardens and away from the traffics, it provides your family with extra safety and privacy, and much more:"
$460 Per Week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],House,,Innovation Rentals,[423630854],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,9 Olympic Pl,Modern family home in Sinnamon Park,"Garage Spaces:,2",Sinnamon Park,https://www.realestate.com.au/property-house-qld-sinnamon+park-423630854,Innovation Real Estate - Jamboree Heights,Thu 18-Oct-18,$460 Per Week,Pet Friendly,"$1,840",Modern family home in Sinnamon Park
$360/Wk,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1,Toilets:,3",[3],Townhouse,,Richlands Rise,[422269918],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,49 / 31 James Edward Street,49/31 James Edward Street Richlands,"Remote Garage,Garage Spaces:,2",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-422269918,Australian Property Management Alliance - Mango Hill,Available Now,$360/Wk,,,Looking for a Fresh Start? 
365 + 3 weeks free rent,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Ceiling fans",Bob Stalling,[424581186],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,73/280 Government Road,Brand New - Ready for Occupancy,"Secure Parking,Garage Spaces:,1,Balcony",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424581186,Raine & Horne - Onsite Sales,Available Now,365 + 3 weeks free rent,,"$1,620","This brand new, 3 bedroom townhouse is available for rent NOW."
$575 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424610374&theme=rea.rent,[1],"Ensuite:,1,Living Areas:,1,Toilets:,3,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[4],Townhouse,,"Jaclyn Lazarou,Jonathan Najarro",[424610374],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,2/27 Jerrold Street,Meticulously presented townhouse a Rare find in Sherwood.,"Remote Garage,Secure Parking,Garage Spaces:,1,Deck,Courtyard,Outdoor Entertaining Area,Fully Fenced",Sherwood,https://www.realestate.com.au/property-townhouse-qld-sherwood-424610374,Place - Graceville,Available Now,$575 per week,,"$2,300","This luxury two-storey townhouse offers contemporary apartment living, located within a small complex, walking distance to Sherwood and Corinda villages, train stations, shops and schools. "
$900 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Built-in Wardrobes,Dishwasher,Air Conditioning",[5],House,,Louise Hood,[423691814],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4075,87 White Street,New executive home!,"Garage Spaces:,2,Swimming Pool - Inground",Graceville,https://www.realestate.com.au/property-house-qld-graceville-423691814,RE/MAX Riverside - Graceville,Fri 05-Oct-18,$900 per week,,"$3,600","From the premiere street setting to the light filled and open plan indoor and outdoor living spaces; this magnificent newly constructed designer residence exceeds all first impressions by showcasing a spacious, layout with the discerning resident in mind. Intended to provide a relaxed haven, this home is perfectly positioned moments away from local café's, restaurants, cinema and shopping precincts, train station, and quality schools including St Aidan's Anglican Girls School and Brisbane Boys College along with a variety of primary schools, whilst being only 8km from Brisbane's CBD and nearby to University of Queensland."
365 + 3 weeks free rent,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Ceiling fans",Bob Stalling,[424581438],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,12/280 Government Road,Brand New - Ready for Occupancy,"Secure Parking,Garage Spaces:,1,Balcony",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424581438,Raine & Horne - Onsite Sales,Available Now,365 + 3 weeks free rent,,"$1,620","This brand new, 3 bedroom townhouse is available for rent NOW."
$300 p/w,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[4],House,,Property Management Team,[404414752],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,15 Bellatrix Street,Lovely home with security and air conditioning,"Carport Spaces:,1",Inala,https://www.realestate.com.au/property-house-qld-inala-404414752,Coulson Real Estate - Inala,Available Now,$300 p/w,,"$1,200","Recently renovated 4 bedroom timber home features 3 built-ins - 2 with mirror doors, modern kitchen with dining area, air conditioned lounge room, polished floors throughout, security screens and doors, large bathroom with seperate toilet, internal laundry, large covered rear entertaining area, garden shed, fully fenced block with double gates at front, carport."
$320.00 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Air Conditioning,[3],House,"close to parklands,close to schools,close to shops,close to transport",Property Management Team,[419342886],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,8 Lapwing Street,WALK TO INALA PLAZA AND TAFE,"Carport Spaces:,1,Shed,Fully Fenced",Inala,https://www.realestate.com.au/property-house-qld-inala-419342886,Coulson Real Estate - Inala,Available Now,$320.00 per week,,,This neat home has many features including -
$350 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Broadband Internet Available,Built-in Wardrobes,Air Conditioning",[2],Unit,0,Cartwright Property Group,[424685314],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,3/34 Hassall Street,2 WEEKS FREE RENT TO APPROVED APPLICANT,"Secure Parking,Garage Spaces:,1",Corinda,https://www.realestate.com.au/property-unit-qld-corinda-424685314,Cartwright Property Group - GRACEVILLE,Fri 12-Oct-18,$350 per week,,"$1,400",- 2 WEEKS FREE RENT TO APPROVED APPLICANT
350 p/w,"[datetime.date(2018, 9, 26)]",Not provided,[3],Air Conditioning,[3],House,"balcony/patio/terrace,bath,modern bathroom,modern kitchen,polished timber floors,close to parklands,",Property Management Team,[419194702],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,17 Osprey Street,WALK TO SHOPS AND TAFE,"Secure Parking,Garage Spaces:,1,Open Car Spaces:,2,Deck,Fully Fenced",Inala,https://www.realestate.com.au/property-house-qld-inala-419194702,Coulson Real Estate - Inala,Available Now,350 p/w,,"$1,400",This lovely home is situated in an ideal location.
$440 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Broadband Internet Available,Dishwasher,Air Conditioning",[3],House,0,Cartwright Property Group,[424644258],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,8 Bute Street,3 Bedroom house in Sherwood!,"Carport Spaces:,2",Sherwood,https://www.realestate.com.au/property-house-qld-sherwood-424644258,Cartwright Property Group - GRACEVILLE,Fri 05-Oct-18,$440 per week,,"$1,760","- Sorry, no pets"
$485 weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[3],House,,Rentals - Centenary Real Estate,[413502155],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,,FAMILY ENTERTAINING HOME!,"Garage Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-413502155,Centenary Real Estate - Jindalee,Tue 23-Oct-18,$485 weekly,,,This home has a great family feel as soon as you walk in - its a place to come home too - to entertain and relax!
$330 per week,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Toilets:,1,Air Conditioning",[4],House,"Close to Schools, Close to Shops, Close to Transport, Garden",Michelle Nguyen,[420538778],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,77 Harrington St,"Large Families, Small Families this home is perfect for yours!","Secure Parking,Garage Spaces:,2,Open Car Spaces:,2",Darra,https://www.realestate.com.au/property-house-qld-darra-420538778,Rightway Realty - Darra,Available Now,$330 per week,,"$1,320","This big home is hidden towards the back of Darra and is within walking distance of local schools, shops and the train station. "
$360 p/w,"[datetime.date(2018, 9, 26)]",Not provided,[2],Floorboards,[3],House,"Close to Schools, Close to Shops, Close to Transport, Garden, Formal Lounge",Jo Nguyen,[424645774],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,10 Winslow St,FANTASTIC LOCATION WITH GREAT SIZED YARD,"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony",Darra,https://www.realestate.com.au/property-house-qld-darra-424645774,Rightway Realty - Darra,Available Now,$360 p/w,,"$1,440","Brilliant location just across the street from Darra state schools. Train stations, shops and eateries are just around the corner within 500m walk. "
"$1,250 per week","[datetime.date(2018, 9, 26)]",Not provided,[2],"Alarm System,Floorboards,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning",[6],House,,Shirley Raven,[424653486],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4068,46 SUTTON STREET,"6 BEDROOM, RENOVATED FAMILY HOME WITH POOL","Secure Parking,Garage Spaces:,2,Balcony,Deck,Courtyard,Shed,Fully Fenced,Swimming Pool - Inground",Chelmer,https://www.realestate.com.au/property-house-qld-chelmer-424653486,Humanics,Available Now,"$1,250 per week",Pet Friendly,"$4,500","Situated in one of Chelmer’s most prestigious, quiet and tree-lined streets on the river (high side Chelmer), this 6 bedroom home is the whole package."
$345 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,,Ruiqi Guo,[424485326],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,19 Kathleen Street,AIR CONDITIONED 3 BR TOWNHOUSE,"Garage Spaces:,1",Richlands,https://www.realestate.com.au/property-house-qld-richlands-424485326,nextrealty.com.au,Available Now,$345 per week,,"$1,380",This beautifully appointed townhouse in a nicely established complex has everything you wish for comfort. Reverse cycle air conditioning throughout the living areas; features include stainless steel appliances including dishwasher; en suite and walk-in robe to master bedroom; 2nd spacious bathroom with bath; three toilets; ceiling fans in each of the three bedrooms and insulated ceilings.
$400 Per Week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,Fenced,Innovation Rentals,[415355935],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,94 Yallambee Road,GREAT LOCATION!,"Carport Spaces:,1,Fully Fenced",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-415355935,Innovation Real Estate - Jamboree Heights,Available Now,$400 Per Week,Pet Friendly,"$1,600",This 3 bedroom lowset home is in a great position.  Situated very close to Centenary High School in the very popular suburb of Jindalee this home has what you need to live in comfort.
$340 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3,Alarm System",[3],House,,Ruiqi Guo,[424485454],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,20 Kathleen Street,AIR CONDITIONED 3 BR TOWNHOUSE,"Remote Garage,Garage Spaces:,1,Fully Fenced",Richlands,https://www.realestate.com.au/property-house-qld-richlands-424485454,nextrealty.com.au,Available Now,$340 per week,,"$1,360",AIR CONDITIONED 3 BR TOWNHOUSE
$405 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager",Murali Nayar,[424656806],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,34/250 Sumners Road,"RESORT style living in a quiet, well maintained & secure townhouse complex.","Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony,Swimming Pool - Inground",Riverhills,https://www.realestate.com.au/property-townhouse-qld-riverhills-424656806,Raine & Horne - Onsite Sales,Fri 05-Oct-18,$405 per week,,"$1,620","This cosy townhouse is conveniently close to all amenities of life. It is walking distance to school, bus stops, restaurants, bakery, tavern and shops. "
$360 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Floorboards,Broadband Internet Available,Dishwasher",[3],Townhouse,,Fem Douglas,[424660970],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,107/7 Giosam Street,Inspired Master-Planned Living,"Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424660970,Azure Living - QLD,Mon 15-Oct-18,$360 per week,,,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience."
$410 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,2,Built-in Wardrobes,Rumpus Room",[3],House,Ceiling Fans,Peter Kilby,[416175813],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,337 Horizon Drive,"Spacious, Fresh and Convenient!","Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area,Fully Fenced",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-416175813,Maison Real Estate -  Mount Ommaney,Sat 29-Sep-18,$410 per week,,"$1,640","With plenty of space and a handy location, this is convenient family living in the Centenary Suburbs."
$460 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],Townhouse,0,Cartwright Property Group,[424672142],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,8/38 Baronsfield Street,GRACEVILLE,"Remote Garage,Secure Parking,Garage Spaces:,2,Deck,Courtyard,Fully Fenced,Swimming Pool - Inground",Graceville,https://www.realestate.com.au/property-townhouse-qld-graceville-424672142,Cartwright Property Group - GRACEVILLE,Thu 27-Sep-18,$460 per week,,"$1,840","- Sorry, no pets"
$390 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[3],,[3],House,Property Type: House,Harcourts South West BDM,[424679070],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,9 Sirocco Street,Walking Distance to Mount Ommaney Shopping Centre,"Garage Spaces:,1,Open Car Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-424679070,Harcourts Centenary Suburbs - Mt Ommaney,Available Now,$390 p.w.,,"$1,560",Renovated internally upstairs
$450 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Contact Office,[424679346],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,104 Burrendah Rd,Close to Everything. Large. Renovated. Air Con.,"Garage Spaces:,2",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-424679346,RealPrivate.com.au - HAWTHORN,Sun 14-Oct-18,$450 per week,,,"Great Home, in a lovely part of Jindalee. Close to shops, transport, schools and daycare."
$360 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Alarm System,Air Conditioning",[1],Apartment,,Blanche Cheung,[421952710],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,32/21 Mayhew Street,Luxury Single Bedroom Apartment with Spacious Balcony,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-apartment-qld-sherwood-421952710,RAAS Group,Wed 03-Oct-18,$360 per week,,"$1,440",Tamanna@Sherwood is a boutique luxury apartment building within walking distance of all amenities in the popular suburb of Sherwood.
$300 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Ensuite:,1",[3],House,,Denny Dao,[420359710],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,3 Cypress Street,"Great Views, Great Location","Garage Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-420359710,LITTLE Real Estate - FOREST LAKE,Mon 29-Oct-18,$300 per week,,"$1,200","Come see this charming 3 bedroom house, occupying a prime position in a sought after residential area. "
$440 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2,Alarm System,Floorboards,Air Conditioning",[2],Apartment,"Built-In Wardrobes, Close to Shops, Close to Transport, Separate Dining",Blanche Cheung,[424547814],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,8/20 Primrose Street,Super convenience,"Secure Parking,Garage Spaces:,1,Balcony",Sherwood,https://www.realestate.com.au/property-apartment-qld-sherwood-424547814,RAAS Group,Tue 02-Oct-18,$440 per week,,"$1,680","Homewood Living is a NEW boutique apartment building within walking distance of all amenities in the popular suburb of Sherwood. Railway station, school and shopping facilities are just round the corner."
$470 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Broadband Internet Available",[4],House,0,Cartwright Property Group,[424553530],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,277 Oxley Road,GRACEVILLE,"Carport Spaces:,2",Graceville,https://www.realestate.com.au/property-house-qld-graceville-424553530,Cartwright Property Group - GRACEVILLE,Available Now,$470 per week,,"$1,880","- Sorry, no pets"
$440 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],Air Conditioning,[2],House,"Built-In Wardrobes, Close to Shops, Close to Transport",Leasing Oxley,[424551230],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,104/61 Ellen Street,Modern Spacious Apartment!,"Secure Parking,Open Car Spaces:,1",Oxley,https://www.realestate.com.au/property-house-qld-oxley-424551230,Tessa Residential New Farm - NEW FARM,Available Now,$440 per week,,"$1,760","Enjoy dining and hosting on the sundrenched entertainer's balcony, the perfect place for a quiet afternoon drink or get together with friends and family. The living and dining area is open plan and brimming with an abundance of natural light. "
$720 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Floorboards,Air Conditioning",[4],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","Sarah Ratz,LJ HOOKER",[424556174],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,16 ALLARDYCE STREET,AIR CONDITIONED WITH A POOL READY FOR SUMMER,"Open Car Spaces:,2",Graceville,https://www.realestate.com.au/property-house-qld-graceville-424556174,LJ Hooker - .,Available Now,$720 per week,Pet Friendly,"$2,880","Beautifully modernised yet still retaining the charm and features of a traditional Queenslander this beautiful family home offers everything you need and more. Downstairs has two very large bedrooms with a huge rumpus room giving the family space to spread out and enjoy, opening on to a large covered deck you can stroll down to the beautiful in-ground pool. Upstairs offer two more large bedrooms, the main with ensuite plus a study. There is a lounge and separate dining area and the modern kitchen opens out on to the large upper deck to really enjoy the alfresco dining experience. Walking distance to everything Graceville has to offer inspect sooner rather than later is a must."
$330 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,1,Floorboards,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Garden",Jo Nguyen,[424563938],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4076,28 Sanananda Street,Affordable modern living!,"Carport Spaces:,1",Darra,https://www.realestate.com.au/property-house-qld-darra-424563938,Rightway Realty - Darra,Available Now,$330 per week,,"$1,320","Don't miss your chance to rent out this newly renovated cozy home. Equipped with a modern looking kitchen with caesarstone bench tops, plenty of cupboard space. Polished timber floors throughout with carpet in two of the bedrooms. Much well maintained home is ready for you to move in now!"
$340 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],House,"Internal Laundry, Close to shops, Close to transport",Reception Team,[424569422],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,42B Inala Avenue,BRAND NEW DUPLEX HOME!,"Carport Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-424569422,Your Choice Realty - Forest Lake,Available Now,$340 per week,,"$1,360",This newly built duplex home is almost complete for someone to move in & enjoy!  The property is located across the road from the primary school and has bus stop out the front.  There is the main house at the front so there is a side driveway leading to this property at the back.  The property itself offers the following:
"$1,300 per week","[datetime.date(2018, 9, 26)]",Not provided,[2],"Alarm System,Floorboards,Air Conditioning",[5],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s)","Satvir Nassar,Lauren Matbouly",[421975826],"<span class=""rate""></span>",[3],"<span class=""price""></span>",4069,38 Vakuta Street,Entertainers Delight.  This property has it all.,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",Fig Tree Pocket,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-421975826,Brisbane Real Estate - Indooroopilly,Fri 19-Oct-18,"$1,300 per week",Pet Friendly,"$5,200","No expense has been spared on this amazing home.  Consisting of 5 over-sized rooms, 4 bedrooms upstairs and the 5th bedroom downstairs in a self contained living space with it's own walk-in-wardrobe, bathroom, kitchenette and rumpus room.  Ideal as a teenagers retreat or private space for guests or in-laws. "
$380 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],,[3],House,,Jan Gillmartin,[424581898],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,99 White Street,FAMILY FRIENDLY,"Garage Spaces:,1",Graceville,https://www.realestate.com.au/property-house-qld-graceville-424581898,Save on Commission - BROADBEACH,Available Now,$380 per week,,,POSITION. SPACE. VALUE. 
$395 Weekly,"[datetime.date(2018, 9, 26)]",Not provided,[2],,[4],House,,Rentals - Centenary Real Estate,[420881394],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,32 Masthead Street,Charm and Location - The perfect combination!,"Carport Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-420881394,Centenary Real Estate - Jindalee,Available Now,$395 Weekly,,,"This lovely little home is located within a stone's throw of everything that Jamboree Heights has to offer...walk to schools, parks, daycares, Mount Ommaney Shopping Centre and public transport!  TENANT BREAKING LEASE"
$300 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Broadband Internet Available,Air Conditioning",[2],Unit,0,Cartwright Property Group,[424583842],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4075,3/58 Primrose Street,SHERWOOD,"Garage Spaces:,1",Sherwood,https://www.realestate.com.au/property-unit-qld-sherwood-424583842,Cartwright Property Group - GRACEVILLE,Thu 01-Nov-18,$300 per week,,"$1,200","- Sorry, no pets"
$435 per week,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424582946&theme=rea.rent,[2],"Toilets:,1,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Debbie Swales,[424582946],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,6 Moorilla Place,REFURBISHED HOME WITH POOL + AIR CON - FANTASTIC LOCATION,"Carport Spaces:,2,Swimming Pool - Inground",Jindalee,https://www.realestate.com.au/property-house-qld-jindalee-424582946,Ray White - Centenary,Available Now,$435 per week,Pet Friendly,"$1,740","Ray White Centenary proudly offers for rent this low set brick, recently updated home in a perfect family cul-de-sac location near Schools, shops and transport. Recently updated with fresh paint, new kitchen appliances, new carpet in bedrooms, air conditioning + fans, this home is has so much to offer. The raked ceilings and abundance of natural light provide an attractive and comfortable place to call home. "
$370 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,3,Air Conditioning",[3],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Michael Cai,[424579590],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,09/83 OLD PROGRESS RD,REAL DOUBLE GARAGE TOWNHOUSE,"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424579590,Raine & Horne - Onsite Sales,Sat 29-Sep-18,$370 per week,,"$1,480","200 meters from Richlands Shopping Plaza, 24/7 gym and medical center, few mins walking to the Richlands train station and centenary highway. "
$330 p/w,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Floorboards",[3],House,Garden,Michelle Nguyen,[409733231],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4077,2 Galileo Street,Spacious Home,"Secure Parking,Carport Spaces:,2",Inala,https://www.realestate.com.au/property-house-qld-inala-409733231,Rightway Realty - Darra,Available Now,$330 p/w,,"$1,320","If big and spaces is what you want, you will like this. Hidden away in a cul-de-sac, quiet and peaceful, yet this property located not too far from Woolworth's, McDonald  and schools. "
$490 p.w.,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424599682&theme=rea.rent,[2],"Built-in Wardrobes,Dishwasher,Air Conditioning",[4],House,Property Type: House Garaging / carparking: Double lock-up Property Features: No Pets Allowed,Mel Rodrigo,[424599682],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,2 Lyndora Close,1 Week Rent Free - Corner Block Oasis,"Garage Spaces:,2,Fully Fenced",Riverhills,https://www.realestate.com.au/property-house-qld-riverhills-424599682,Harcourts Centenary Suburbs - Mt Ommaney,Available Now,$490 p.w.,,"$1,960","Situated in a quite street on a 635sqm corner block is this low set 4-bedroom home. Featuring a fully fenced yard, double garage and within in walking distance to local schools and public transport."
