bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address 
[4],$395 pw,Ideal Family Home!,https://www.realestate.com.au/property-house-qld-darra-424691722,Available Now,,"<span class=""price""></span>","Living Areas:,1",[2],"Carport Spaces:,2",,Darra,Property Management Team,Professionals P J Torbey Real Estate -,[1],House,,"This property is walking distance to shops and parks, close to local schools and public transport, with four decent sized bedrooms, newly renovated kitchen and bathroom , large living and dinning area, with everything at your fingertips this home is ideal for any family! ","$395,$395,",Not provided,[424691722],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",16 Bradford Street
[2],$450 per week,Modern Unit in great location,https://www.realestate.com.au/property-house-qld-sherwood-424702370,Available Now,Built-In Wardrobes,"<span class=""price""></span>",Air Conditioning,[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,800",Sherwood,Leasing Oxley,Tessa Residential - NINGI,[2],House,,This two bedroom unit in Sherwood is available and has a open modern feeling to it. The property has the following features:,"$450,$450,",Not provided,[424702370],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",2/17 Mayhew Street
[4],$430 per week,LARGE MODERN HOME IN FABULOUS LOCATION!!!,https://www.realestate.com.au/property-house-qld-richlands-424700594,Available Now,,"<span class=""price""></span>","Built-in Wardrobes,Dishwasher,Split-system Air Conditioning",[2],"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced","$1,720",Richlands,Yvette Shaw,Twenty Four Seven Realty - -,[2],House,,This freshly painted modern home has become available to a lucky tenant.,"$430,$430,",Not provided,[424700594],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",1 Zerlotti Cl
[3],$325 PER WEEK!!,BIG HOME WITH A LOT MORE THAN OTHERS,https://www.realestate.com.au/property-house-qld-inala-424086190,Available Now,"Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>",Air Conditioning,[1],"Garage Spaces:,1","$1,300",Inala,Leasing Oxley,Tessa Residential - NINGI,[1],House,,"This 3 bedroom home is set on a large block, with a large double car shed, plus additional carport and garden shed. ","$325,$325,",Not provided,[424086190],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",75 Poinciana Street
[2],$330 per week,SNUG BUT STYLISH,https://www.realestate.com.au/property-unit-qld-riverhills-424689874,Tue 20-Nov-18,,"<span class=""price""></span>",,[1],"Garage Spaces:,1","$1,320",Riverhills,Guardian Wacol,Guardian Property & Asset Mgmt - Brisbane,[2],Unit,,Inspect now and secure this neat home located in the new Riverhills Estate. ,"$330,$330,",Not provided,[424689874],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",46B Sawmill Circuit
[3],$400 per week,PRIVATE UNIQUE & MODERN,https://www.realestate.com.au/property-duplex+semi+detached-qld-oxley-424711854,Available Now,,"<span class=""price""></span>",,[2],"Garage Spaces:,2","$1,600",Oxley,Guardian Wacol,Guardian Property & Asset Mgmt - Brisbane,[2],Duplex/Semi-Detached,,This well appointed 3 bedroom home will tick all the boxes. ,"$400,$400,",Not provided,[424711854],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",1/13 Pamphlett Street
[4],$620 per week,Near New Family Home,https://www.realestate.com.au/property-house-qld-riverhills-420183210,Mon 01-Oct-18,,"<span class=""price""></span>","Ensuite:,1,Toilets:,3,Built-in Wardrobes,Dishwasher,Rumpus Room,Ducted Cooling",[2],"Remote Garage,Garage Spaces:,2,Outdoor Entertaining Area,Fully Fenced","$2,480",Riverhills,Peter Kilby,Maison Real Estate -  Mount Ommaney,[2],House,Pet Friendly,This near new home is packed full of inclusions for your family.,"$620,$620,",Not provided,[420183210],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",59 Sawmill Circuit
[4],$390 per week,4 BEDROOM HOME IN QUIET SUMNER POCKET,https://www.realestate.com.au/property-house-qld-sumner-424705906,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>","Toilets:,1,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1","$1,560",Sumner,Debbie Swales,Ray White - Centenary,[1],House,Pet Friendly,"Ray White Centenary proudly offers for rent this lowset brick home located at the end of a cul-de-sac in sought after, quiet pocket of Sumner. With new flooring, lock up garage, air conditioning, fully fenced backyard, this home is of great value. ","$390,$390,",https://www.realestate.com.au/floorplan_new.ds?id=424705906&theme=rea.rent,[424705906],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",17 Emily Place
[2],$395 per week,New 2 bedroom apartment,https://www.realestate.com.au/property-unit-qld-sherwood-424733498,Available Now,,"<span class=""price""></span>","Intercom,Air Conditioning",[1],"Garage Spaces:,1,Balcony","$1,580",Sherwood,Damian Bourke,THEONSITEMANAGER - Hendra,[2],Unit,Pet Friendly,"Excellent central Sherwood location. Easy walk to train station, schools, kindergarten, churches, shops and cafes. ","$395,$395,",https://www.realestate.com.au/floorplan_new.ds?id=424733498&theme=rea.rent,[424733498],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",445 Oxley Road
[3],$360 per week,Modern townhouse in great location,https://www.realestate.com.au/property-townhouse-qld-richlands-424727522,Fri 02-Nov-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,3,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1","$1,440",Richlands,Cathy Slater,Raine & Horne - Onsite Sales,[2],Townhouse,Pet Friendly,Welcome to RICHLANDS GROVE,"$360,$360,",https://www.realestate.com.au/three_d_tour.ds?id=424727522&theme=rea.rent,[424727522],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",41/125 Orchard Road
[2],$450 per week,Open plan living opening out to a generous balcony that overlooks the beautiful parkland,https://www.realestate.com.au/property-unit-qld-sherwood-424724338,Available Now,"Close to Schools, Close to Shops, Close to Transport, Lift Installed, Roller Door Access","<span class=""price""></span>","Toilets:,2,Intercom,Air Conditioning",[2],"Garage Spaces:,2","$18,001",Sherwood,"Rent Central Sherwood,Ann Marie Lindeblad",RESTT Property Sales and Rentals - LOGAN CENTRAL,[2],Unit,,Want to be a close commute to the CBD and then come home to a peaceful haven and have a swim in a 20 metre lap pool?,"$450,$450,",https://www.realestate.com.au/floorplan_new.ds?id=424724338&theme=rea.rent,[424724338],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",239/20 Egmont
[2],$350 per week,2 WEEKS FREE RENT TO APPROVED APPLICANT,https://www.realestate.com.au/property-unit-qld-corinda-424685314,Fri 12-Oct-18,0,"<span class=""price""></span>","Broadband Internet Available,Built-in Wardrobes,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1","$1,400",Corinda,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[1],Unit,,- 2 WEEKS FREE RENT TO APPROVED APPLICANT,"$350,$350,",Not provided,[424685314],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",3/34 Hassall Street
[3],$320.00 per week,WALK TO INALA PLAZA AND TAFE,https://www.realestate.com.au/property-house-qld-inala-419342886,Available Now,"close to parklands,close to schools,close to shops,close to transport","<span class=""price""></span>",Air Conditioning,[1],"Carport Spaces:,1,Shed,Fully Fenced",,Inala,Property Management Team,Coulson Real Estate - Inala,[1],House,,This neat home has many features including -,"$320,$320,",Not provided,[419342886],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",8 Lapwing Street
[4],$300 p/w,Lovely home with security and air conditioning,https://www.realestate.com.au/property-house-qld-inala-404414752,Available Now,,"<span class=""price""></span>",,[1],"Carport Spaces:,1","$1,200",Inala,Property Management Team,Coulson Real Estate - Inala,[1],House,,"Recently renovated 4 bedroom timber home features 3 built-ins - 2 with mirror doors, modern kitchen with dining area, air conditioned lounge room, polished floors throughout, security screens and doors, large bathroom with seperate toilet, internal laundry, large covered rear entertaining area, garden shed, fully fenced block with double gates at front, carport.","$300,$300,",Not provided,[404414752],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",15 Bellatrix Street
[3],$485 weekly,FAMILY ENTERTAINING HOME!,https://www.realestate.com.au/property-house-qld-jamboree+heights-413502155,Tue 23-Oct-18,,"<span class=""price""></span>",,[2],"Garage Spaces:,2",,Jamboree Heights,Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee,[2],House,,This home has a great family feel as soon as you walk in - its a place to come home too - to entertain and relax!,"$485,$485,",Not provided,[413502155],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",
[3],$440 per week,3 Bedroom house in Sherwood!,https://www.realestate.com.au/property-house-qld-sherwood-424644258,Fri 05-Oct-18,0,"<span class=""price""></span>","Floorboards,Broadband Internet Available,Dishwasher,Air Conditioning",[2],"Carport Spaces:,2","$1,760",Sherwood,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[1],House,,"- Sorry, no pets","$440,$440,",Not provided,[424644258],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",8 Bute Street
[4],$330 per week,"Large Families, Small Families this home is perfect for yours!",https://www.realestate.com.au/property-house-qld-darra-420538778,Available Now,"Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1,Air Conditioning",[4],"Secure Parking,Garage Spaces:,2,Open Car Spaces:,2","$1,320",Darra,Michelle Nguyen,Rightway Realty - Darra,[1],House,,"This big home is hidden towards the back of Darra and is within walking distance of local schools, shops and the train station. ","$330,$330,",Not provided,[420538778],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",77 Harrington St
[3],350 p/w,WALK TO SHOPS AND TAFE,https://www.realestate.com.au/property-house-qld-inala-419194702,Available Now,"balcony/patio/terrace,bath,modern bathroom,modern kitchen,polished timber floors,close to parklands,","<span class=""price""></span>",Air Conditioning,[3],"Secure Parking,Garage Spaces:,1,Open Car Spaces:,2,Deck,Fully Fenced","$1,400",Inala,Property Management Team,Coulson Real Estate - Inala,[1],House,,This lovely home is situated in an ideal location.,,Not provided,[419194702],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",17 Osprey Street
[3],$360 p/w,FANTASTIC LOCATION WITH GREAT SIZED YARD,https://www.realestate.com.au/property-house-qld-darra-424645774,Available Now,"Close to Schools, Close to Shops, Close to Transport, Garden, Formal Lounge","<span class=""price""></span>",Floorboards,[2],"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony","$1,440",Darra,Jo Nguyen,Rightway Realty - Darra,[1],House,,"Brilliant location just across the street from Darra state schools. Train stations, shops and eateries are just around the corner within 500m walk. ","$360,$360,",Not provided,[424645774],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",10 Winslow St
[3],$340 per week,AIR CONDITIONED 3 BR TOWNHOUSE,https://www.realestate.com.au/property-house-qld-richlands-424485454,Available Now,,"<span class=""price""></span>","Toilets:,3,Alarm System",[1],"Remote Garage,Garage Spaces:,1,Fully Fenced","$1,360",Richlands,Ruiqi Guo,nextrealty.com.au,[2],House,,AIR CONDITIONED 3 BR TOWNHOUSE,"$340,$340,",Not provided,[424485454],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",20 Kathleen Street
[3],$400 Per Week,GREAT LOCATION!,https://www.realestate.com.au/property-house-qld-jindalee-415355935,Available Now,Fenced,"<span class=""price""></span>",,[1],"Carport Spaces:,1,Fully Fenced","$1,600",Jindalee,Innovation Rentals,Innovation Real Estate - Jamboree Heights,[1],House,Pet Friendly,This 3 bedroom lowset home is in a great position.  Situated very close to Centenary High School in the very popular suburb of Jindalee this home has what you need to live in comfort.,"$400,$400,",Not provided,[415355935],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",94 Yallambee Road
[6],"$1,250 per week","6 BEDROOM, RENOVATED FAMILY HOME WITH POOL",https://www.realestate.com.au/property-house-qld-chelmer-424653486,Available Now,,"<span class=""price""></span>","Alarm System,Floorboards,Broadband Internet Available,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony,Deck,Courtyard,Shed,Fully Fenced,Swimming Pool - Inground","$4,500",Chelmer,Shirley Raven,Humanics,[2],House,Pet Friendly,"Situated in one of Chelmer’s most prestigious, quiet and tree-lined streets on the river (high side Chelmer), this 6 bedroom home is the whole package.","$1,250,$1,250,",Not provided,[424653486],"<span class=""rate""></span>",4068,"[datetime.date(2018, 9, 26)]",46 SUTTON STREET
[3],$345 per week,AIR CONDITIONED 3 BR TOWNHOUSE,https://www.realestate.com.au/property-house-qld-richlands-424485326,Available Now,,"<span class=""price""></span>",,[1],"Garage Spaces:,1","$1,380",Richlands,Ruiqi Guo,nextrealty.com.au,[2],House,,This beautifully appointed townhouse in a nicely established complex has everything you wish for comfort. Reverse cycle air conditioning throughout the living areas; features include stainless steel appliances including dishwasher; en suite and walk-in robe to master bedroom; 2nd spacious bathroom with bath; three toilets; ceiling fans in each of the three bedrooms and insulated ceilings.,"$345,$345,",Not provided,[424485326],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",19 Kathleen Street
[3],$410 per week,"Spacious, Fresh and Convenient!",https://www.realestate.com.au/property-house-qld-riverhills-416175813,Sat 29-Sep-18,Ceiling Fans,"<span class=""price""></span>","Toilets:,2,Built-in Wardrobes,Rumpus Room",[2],"Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area,Fully Fenced","$1,640",Riverhills,Peter Kilby,Maison Real Estate -  Mount Ommaney,[2],House,,"With plenty of space and a handy location, this is convenient family living in the Centenary Suburbs.","$410,$410,",Not provided,[416175813],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",337 Horizon Drive
[3],$405 per week,"RESORT style living in a quiet, well maintained & secure townhouse complex.",https://www.realestate.com.au/property-townhouse-qld-riverhills-424656806,Fri 05-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden, Onsite Manager","<span class=""price""></span>","Toilets:,3,Air Conditioning",[2],"Secure Parking,Carport Spaces:,1,Garage Spaces:,1,Balcony,Swimming Pool - Inground","$1,620",Riverhills,Murali Nayar,Raine & Horne - Onsite Sales,[2],Townhouse,,"This cosy townhouse is conveniently close to all amenities of life. It is walking distance to school, bus stops, restaurants, bakery, tavern and shops. ","$405,$405,",Not provided,[424656806],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",34/250 Sumners Road
[3],$390 p.w.,Walking Distance to Mount Ommaney Shopping Centre,https://www.realestate.com.au/property-house-qld-jamboree+heights-424679070,Available Now,Property Type: House,"<span class=""price""></span>",,[3],"Garage Spaces:,1,Open Car Spaces:,2","$1,560",Jamboree Heights,Harcourts South West BDM,Harcourts Centenary Suburbs - Mt Ommaney,[1],House,,Renovated internally upstairs,"$390,$390,",Not provided,[424679070],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",9 Sirocco Street
[3],$360 per week,Inspired Master-Planned Living,https://www.realestate.com.au/property-townhouse-qld-richlands-424660970,Mon 15-Oct-18,,"<span class=""price""></span>","Floorboards,Broadband Internet Available,Dishwasher",[1],"Garage Spaces:,1,Courtyard,Outdoor Entertaining Area,Swimming Pool - Inground",,Richlands,Fem Douglas,Azure Living - QLD,[2],Townhouse,,"Azure Living is pleased to present to you The Grove Edition, Richlands. A master-planned community of 3 and 4 bedroom terraces featuring an outdoor pool and entertainment area. Surrounded by subtropical landscaping and nestled within the growing Western suburb of Richlands. Spanning over two levels, this contemporary terrace home is an impeccable fusion of space and convenience.","$360,$360,",Not provided,[424660970],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",107/7 Giosam Street
[2],$440 per week,Super convenience,https://www.realestate.com.au/property-apartment-qld-sherwood-424547814,Tue 02-Oct-18,"Built-In Wardrobes, Close to Shops, Close to Transport, Separate Dining","<span class=""price""></span>","Toilets:,2,Alarm System,Floorboards,Air Conditioning",[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,680",Sherwood,Blanche Cheung,RAAS Group,[2],Apartment,,"Homewood Living is a NEW boutique apartment building within walking distance of all amenities in the popular suburb of Sherwood. Railway station, school and shopping facilities are just round the corner.","$440,$440,",Not provided,[424547814],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",8/20 Primrose Street
[3],$460 per week,GRACEVILLE,https://www.realestate.com.au/property-townhouse-qld-graceville-424672142,Thu 27-Sep-18,0,"<span class=""price""></span>","Floorboards,Broadband Internet Available,Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Remote Garage,Secure Parking,Garage Spaces:,2,Deck,Courtyard,Fully Fenced,Swimming Pool - Inground","$1,840",Graceville,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[2],Townhouse,,"- Sorry, no pets","$460,$460,",Not provided,[424672142],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",8/38 Baronsfield Street
[5],"$1,300 per week",Entertainers Delight.  This property has it all.,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-421975826,Fri 19-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Fireplace(s)","<span class=""price""></span>","Alarm System,Floorboards,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground","$5,200",Fig Tree Pocket,"Satvir Nassar,Lauren Matbouly",Brisbane Real Estate - Indooroopilly,[3],House,Pet Friendly,"No expense has been spared on this amazing home.  Consisting of 5 over-sized rooms, 4 bedrooms upstairs and the 5th bedroom downstairs in a self contained living space with it's own walk-in-wardrobe, bathroom, kitchenette and rumpus room.  Ideal as a teenagers retreat or private space for guests or in-laws. ","$1,300,$1,300,",Not provided,[421975826],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",38 Vakuta Street
[2],$440 per week,Modern Spacious Apartment!,https://www.realestate.com.au/property-house-qld-oxley-424551230,Available Now,"Built-In Wardrobes, Close to Shops, Close to Transport","<span class=""price""></span>",Air Conditioning,[1],"Secure Parking,Open Car Spaces:,1","$1,760",Oxley,Leasing Oxley,Tessa Residential New Farm - NEW FARM,[2],House,,"Enjoy dining and hosting on the sundrenched entertainer's balcony, the perfect place for a quiet afternoon drink or get together with friends and family. The living and dining area is open plan and brimming with an abundance of natural light. ","$440,$440,",Not provided,[424551230],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",104/61 Ellen Street
[4],$470 per week,GRACEVILLE,https://www.realestate.com.au/property-house-qld-graceville-424553530,Available Now,0,"<span class=""price""></span>","Floorboards,Broadband Internet Available",[2],"Carport Spaces:,2","$1,880",Graceville,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[1],House,,"- Sorry, no pets","$470,$470,",Not provided,[424553530],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",277 Oxley Road
[4],$720 per week,AIR CONDITIONED WITH A POOL READY FOR SUMMER,https://www.realestate.com.au/property-house-qld-graceville-424556174,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Floorboards,Air Conditioning",[2],"Open Car Spaces:,2","$2,880",Graceville,"Sarah Ratz,LJ HOOKER",LJ Hooker - .,[2],House,Pet Friendly,"Beautifully modernised yet still retaining the charm and features of a traditional Queenslander this beautiful family home offers everything you need and more. Downstairs has two very large bedrooms with a huge rumpus room giving the family space to spread out and enjoy, opening on to a large covered deck you can stroll down to the beautiful in-ground pool. Upstairs offer two more large bedrooms, the main with ensuite plus a study. There is a lounge and separate dining area and the modern kitchen opens out on to the large upper deck to really enjoy the alfresco dining experience. Walking distance to everything Graceville has to offer inspect sooner rather than later is a must.","$720,$720,",Not provided,[424556174],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",16 ALLARDYCE STREET
[3],$330 per week,Affordable modern living!,https://www.realestate.com.au/property-house-qld-darra-424563938,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Garden","<span class=""price""></span>","Toilets:,1,Floorboards,Air Conditioning",[1],"Carport Spaces:,1","$1,320",Darra,Jo Nguyen,Rightway Realty - Darra,[1],House,,"Don't miss your chance to rent out this newly renovated cozy home. Equipped with a modern looking kitchen with caesarstone bench tops, plenty of cupboard space. Polished timber floors throughout with carpet in two of the bedrooms. Much well maintained home is ready for you to move in now!","$330,$330,",Not provided,[424563938],"<span class=""rate""></span>",4076,"[datetime.date(2018, 9, 26)]",28 Sanananda Street
[3],$380 per week,FAMILY FRIENDLY,https://www.realestate.com.au/property-house-qld-graceville-424581898,Available Now,,"<span class=""price""></span>",,[1],"Garage Spaces:,1",,Graceville,Jan Gillmartin,Save on Commission - BROADBEACH,[1],House,,POSITION. SPACE. VALUE. ,"$380,$380,",Not provided,[424581898],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",99 White Street
[3],$370 per week,REAL DOUBLE GARAGE TOWNHOUSE,https://www.realestate.com.au/property-townhouse-qld-richlands-424579590,Sat 29-Sep-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,3,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Balcony,Swimming Pool - Inground","$1,480",Richlands,Michael Cai,Raine & Horne - Onsite Sales,[2],Townhouse,,"200 meters from Richlands Shopping Plaza, 24/7 gym and medical center, few mins walking to the Richlands train station and centenary highway. ","$370,$370,",Not provided,[424579590],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",09/83 OLD PROGRESS RD
[4],$395 Weekly,Charm and Location - The perfect combination!,https://www.realestate.com.au/property-house-qld-jamboree+heights-420881394,Available Now,,"<span class=""price""></span>",,[2],"Carport Spaces:,2",,Jamboree Heights,Rentals - Centenary Real Estate,Centenary Real Estate - Jindalee,[1],House,,"This lovely little home is located within a stone's throw of everything that Jamboree Heights has to offer...walk to schools, parks, daycares, Mount Ommaney Shopping Centre and public transport!  TENANT BREAKING LEASE","$395,$395,",Not provided,[420881394],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",32 Masthead Street
[2],$300 per week,SHERWOOD,https://www.realestate.com.au/property-unit-qld-sherwood-424583842,Thu 01-Nov-18,0,"<span class=""price""></span>","Broadband Internet Available,Air Conditioning",[1],"Garage Spaces:,1","$1,200",Sherwood,Cartwright Property Group,Cartwright Property Group - GRACEVILLE,[1],Unit,,"- Sorry, no pets","$300,$300,",Not provided,[424583842],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",3/58 Primrose Street
[3],$340 per week,BRAND NEW DUPLEX HOME!,https://www.realestate.com.au/property-house-qld-inala-424569422,Available Now,"Internal Laundry, Close to shops, Close to transport","<span class=""price""></span>",Air Conditioning,[2],"Carport Spaces:,2","$1,360",Inala,Reception Team,Your Choice Realty - Forest Lake,[2],House,,This newly built duplex home is almost complete for someone to move in & enjoy!  The property is located across the road from the primary school and has bus stop out the front.  There is the main house at the front so there is a side driveway leading to this property at the back.  The property itself offers the following:,"$340,$340,",Not provided,[424569422],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",42B Inala Avenue
[3],$435 per week,REFURBISHED HOME WITH POOL + AIR CON - FANTASTIC LOCATION,https://www.realestate.com.au/property-house-qld-jindalee-424582946,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1,Air Conditioning",[2],"Carport Spaces:,2,Swimming Pool - Inground","$1,740",Jindalee,Debbie Swales,Ray White - Centenary,[1],House,Pet Friendly,"Ray White Centenary proudly offers for rent this low set brick, recently updated home in a perfect family cul-de-sac location near Schools, shops and transport. Recently updated with fresh paint, new kitchen appliances, new carpet in bedrooms, air conditioning + fans, this home is has so much to offer. The raked ceilings and abundance of natural light provide an attractive and comfortable place to call home. ","$435,$435,",https://www.realestate.com.au/floorplan_new.ds?id=424582946&theme=rea.rent,[424582946],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",6 Moorilla Place
[3],$330 p/w,Spacious Home,https://www.realestate.com.au/property-house-qld-inala-409733231,Available Now,Garden,"<span class=""price""></span>","Toilets:,1,Floorboards",[2],"Secure Parking,Carport Spaces:,2","$1,320",Inala,Michelle Nguyen,Rightway Realty - Darra,[1],House,,"If big and spaces is what you want, you will like this. Hidden away in a cul-de-sac, quiet and peaceful, yet this property located not too far from Woolworth's, McDonald  and schools. ","$330,$330,",Not provided,[409733231],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",2 Galileo Street
[4],$490 p.w.,1 Week Rent Free - Corner Block Oasis,https://www.realestate.com.au/property-house-qld-riverhills-424599682,Available Now,Property Type: House Garaging / carparking: Double lock-up Property Features: No Pets Allowed,"<span class=""price""></span>","Built-in Wardrobes,Dishwasher,Air Conditioning",[2],"Garage Spaces:,2,Fully Fenced","$1,960",Riverhills,Mel Rodrigo,Harcourts Centenary Suburbs - Mt Ommaney,[2],House,,"Situated in a quite street on a 635sqm corner block is this low set 4-bedroom home. Featuring a fully fenced yard, double garage and within in walking distance to local schools and public transport.","$490,$490,",https://www.realestate.com.au/floorplan_new.ds?id=424599682&theme=rea.rent,[424599682],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",2 Lyndora Close
[4],$450 per week,Stylish and Convenient,https://www.realestate.com.au/property-house-qld-jamboree+heights-424620386,Sat 13-Oct-18,Ceiling Fans,"<span class=""price""></span>","Toilets:,2,Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room",[2],"Carport Spaces:,2,Balcony,Deck,Outdoor Entertaining Area","$1,800",Jamboree Heights,Fiona Hayward,Maison Real Estate -  Mount Ommaney,[1],House,,Family home with a bit of flair - this property is conveniently located in an elevated position handy to all the local facilities.,"$450,$450,",Not provided,[424620386],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",12 Troop Street
[1],$165 Per Week,Are you looking for a great place to stay in an...,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-421907818,Available Now,,"<span class=""price""></span>",,,,$660,Fig Tree Pocket,Innovation Rentals,Innovation Real Estate - Jamboree Heights,[1],House,,Are you looking for a great place to stay in an excellent location? ,"$165,$165,",Not provided,[421907818],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",40 Robertson Street
[3],$380 per week,"DOUBLE GARAGE unit,  NBN & Foxtel",https://www.realestate.com.au/property-townhouse-qld-richlands-418982626,Thu 11-Oct-18,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden,  GAS cooking","<span class=""price""></span>","Toilets:,3,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Swimming Pool - Inground","$1,520",Richlands,Sharon Wendt,Raine & Horne - Onsite Sales,[2],Townhouse,,"This   property is in a great location tucked away in a quiet estate, close to trains, shops, and major highways. A few minutes drive takes you to walks and parks in Forest Lake or to a few larger shopping centers nearby. ","$380,$380,",Not provided,[418982626],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",77/31 Yerongpan Street
[3],$480 wk,Well Presented Home in Ideal Location,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424465354,Available Now,,"<span class=""price""></span>","Toilets:,1,Floorboards,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2,Courtyard","$1,920",Fig Tree Pocket,John Crittenden,LJ Hooker - Kenmore,[1],House,,"This neat 3 bedroom home is perfect for a couple or small family. Positioned in a quiet, tree-lined cul-de-sac with a North Easterly aspect it features polished timber floors, air-conditioning in the living area & main bedroom, galley style kitchen with dishwasher, raked ceiling with exposed beams and a double garage. No Pets Please.","$480,$480,",Not provided,[424465354],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",33 Fenchurch Street
