car,bed,suburb,date_available,indoor_feature,title,bond,post_code,price_des,description,allowance,url,rental_yield,other_feature,property_id,price,outdoor_feature,property_type,crawl_date,floorplan,median_rent,street_address,bathroom,agent,agency
[2],[3],Seventeen Mile Rocks,Tue 02-Oct-18,Air Conditioning,Quiet family area close to park,"$1,960",4073,$490 per week,"• 3 Bedrooms - all with built-ins, ceiling fans and security screens",,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-423570362,"<span class=""rate""></span>","Built-In Wardrobes, Close to Shops, Close to Transport, Garden, Formal Lounge",[423570362],490,"Secure Parking,Garage Spaces:,2,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",2 Pampling Street,[2],Jacqui Price,Ray White - Middle Park
[2],[3],Inala,Available Now,"Living Areas:,2,Toilets:,2,Study,Built-in Wardrobes,Air Conditioning",Newly Renovated Home with a Multi-Purpose Attachment,,4077,$380 per week,Welcome to 9 Aldebaran Street in Inala.,Pet Friendly,https://www.realestate.com.au/property-house-qld-inala-424748198,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport",[424748198],380,"Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",9 Aldebaran Street,[2],"Daniel Gow,Ellen Tran",Calibre Real Estate  - Brisbane
[1],[3],Seventeen Mile Rocks,Mon 08-Oct-18,"Ensuite:,1,Living Areas:,1,Toilets:,2,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",Welcome to Your Very Own Inner-City Resort,"$2,100",4073,$ 525 Per week,This beautiful Balinese inspired masterpiece is 5-star luxury. ,,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424628274,"<span class=""rate""></span>",,[424628274],525,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",1 Skirmish Street,[2],"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville
[1],[3],Oxley,Available Now,"Ensuite:,1,Built-in Wardrobes,Dishwasher,Air Conditioning","Pool, Air-conditioning, Pet-Friendly...Absolutely Perfect!","$1,500",4075,$375 p.w.,"Love Summer living in this immaculate townhouse located in the heart of Oxley - only minute walk to train station and local shopping hubs. Met with air-conditioning, inground complex swimming pool, ceiling fans and pet-friendly courtyard, this property is amazing value!",Pet Friendly,https://www.realestate.com.au/property-townhouse-qld-oxley-424745930,"<span class=""rate""></span>",Property Type: Townhouse Garaging / carparking: Single lock-up,[424745930],375,"Garage Spaces:,1,Fully Fenced",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",6/10 Chapman Place,[2],Jess Kindt,Harcourts Marketplace - OXLEY
[1],[2],Riverhills,Thu 18-Oct-18,"Toilets:,2,Air Conditioning",Modern Split levelled townhouse!,"$1,480",4074,$370 per week,"Renovated 2 bedroom townhouse, located in a gated complex in Riverhills.",,https://www.realestate.com.au/property-townhouse-qld-riverhills-424753782,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424753782],370,"Secure Parking,Garage Spaces:,1,Balcony",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",14/32 Tomkins Rd,[2],Jacqui Price,Ray White - Middle Park
[1],[3],Richlands,Available Now,"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling",Ask About 1 Week Rent Free!,"$1,440",4077,$360 per week,"This townhouse is situated in walking distance to Richlands Shopping Centre, there are numerous schools nearby and parks and fields. This complex is very quite with no passing by traffic as it is situated at the end of the street.",Pet Friendly,https://www.realestate.com.au/property-townhouse-qld-richlands-424646150,"<span class=""rate""></span>",0,[424646150],360,"Remote Garage,Garage Spaces:,1,Outdoor Entertaining Area,Fully Fenced",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",48/54 Farinazzo Street,[2],Jack Byrnes,H & U Property Group - MARGATE
[2],[3],Jamboree Heights,Thu 11-Oct-18,"Toilets:,1,Floorboards,Air Conditioning",Recently Renovated and Picture Perfect!!!,"$1,560",4074,$390 per week,"Beautifully located in a quiet street, there's everything to love about this property! This house has a new kitchen, a fresh bathroom and new timber floors in all bedrooms.  Fresh paint and attention to all the little details makes this house stand out from the rest. ",Pet Friendly,https://www.realestate.com.au/property-house-qld-jamboree+heights-421880154,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[421880154],390,"Secure Parking,Carport Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5 Port St,[1],Jacqui Price,Ray White - Middle Park
[1],[2],Corinda,Wed 24-Oct-18,"Intercom,Built-in Wardrobes,Dishwasher,Reverse-cycle Air Conditioning,Air Conditioning",TOTAL CONVENIENCE AND LUXURY,"$1,760",4075,$440 per week,"A great opportunity to rent this fabulous unit in the sought after building ""Olympia Plaza"" in a super location!  Sweeping views from every room with no expense spared,  this cosy 2 bedroom apartment is ideal for busy professionals or downsizers. ",,https://www.realestate.com.au/property-unit-qld-corinda-424779106,"<span class=""rate""></span>",Ceiling Fans in bedrooms an living areas,[424779106],440,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",10/640 Oxley Road,[2],"Rebecca Bezuidenhout,Anna Samios",Nobel Realtors - Corinda
[1],[2],Sherwood,Available Now,"Toilets:,2",BRAND NEW - GREAT LOCATION,"$2,460",4075,$410 per week,OPEN TO INSPECT SATURDAY 22ND SEPTEMBER 11:00AM - 12:00PM,,https://www.realestate.com.au/property-unit-qld-sherwood-424762458,"<span class=""rate""></span>",,[424762458],410,"Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5/535 Oxley Road,[2],Ian Stevenson,DJ Stringer Property Services - Coolangatta
[1],[3],Richlands,Available Now,Air Conditioning,Cosy three bedroom townhouse,"$1,400",4077,$350 per week,"This property is within walking distance to the local McDonalds, Woolworths shopping complex and short drive to the Richlands train station. ",Pet Friendly,https://www.realestate.com.au/property-unit-qld-richlands-424744886,"<span class=""rate""></span>",,[424744886],350,"Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",1/11 Cattiger Street,[2],Sharon Nicholson,McGrath - Springfield
[1],[2],Chelmer,Thu 04-Oct-18,"Toilets:,1,Floorboards,Built-in Wardrobes",RIVER BREEZE IN RENOVATED HOME!,"$1,400",4068,$350 a week,Booking an inspection is easy - Simply click “Email Agent” and complete the form and you will be emailed a link with available inspection times. ,,https://www.realestate.com.au/property-house-qld-chelmer-420696222,"<span class=""rate""></span>",,[420696222],350,"Secure Parking,Garage Spaces:,1,Balcony",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=420696222&theme=rea.rent,"<span class=""price""></span>",7 Regatta Street,[1],Cara Johnston,PMC Property Management -  QLD
[2],[4],Chelmer,Mon 08-Oct-18,,RIVER WONDERLAND,,4068,$840 per week,"This absolute riverfront local landmark graces a grand 1,812m2 of north-facing land with a wide 18 metre frontage to the road and river.",,https://www.realestate.com.au/property-house-qld-chelmer-424679134,"<span class=""rate""></span>",,[424679134],840,"Carport Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",120 Queenscroft Street,[2],Miles Johnston,JOHNSTON DIXON - Brisbane
[2],[3],Graceville,Mon 05-Nov-18,"Living Areas:,1,Air Conditioning","3 Bedroom Queenslander - Stroll to Graceville High Side Cafe's, Restaurants, Shops","$1,940",4075,$485.00 per week,At $485.00 per week this is great value for those seeking a comfortable home in a great area.,Pet Friendly,https://www.realestate.com.au/property-house-qld-graceville-416662073,"<span class=""rate""></span>",Verandah,[416662073],"485,00","Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",7 Kew Road,[1],Moira Dixon,Walsh and Dixon Real Estate - Graceville
[4],[5],Corinda,Mon 05-Nov-18,"Ensuite:,2,Living Areas:,2,Study,Dishwasher,Air Conditioning",Beautifully Renovated Character Home,"$3,400",4075,$800.00 per week,"High on the Hill, Fabulous Views, Recently Renovated Character Home, Massive Front Veranda, Perfect Entertainer.",,https://www.realestate.com.au/property-house-qld-corinda-415139847,"<span class=""rate""></span>","Balcony, Deck, Verandah, Terrace/paved, Indoor entertainment area, Outdoor entertainment area",[415139847],"800,00","Secure Parking,Carport Spaces:,2,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=415139847&theme=rea.rent,"<span class=""price""></span>",208 Cliveden Avenue,[3],Moira Dixon,Walsh and Dixon Real Estate - Graceville
[1],[3],Richlands,Available Now,"Ensuite:,1,Toilets:,3",23/15 James Edward Street Richlands,"$1,440",4077,$355/week+1wk Free,"Newly refurbished looks and well spaced rooms, it is perfect for couples and small families!",,https://www.realestate.com.au/property-townhouse-qld-richlands-424417126,"<span class=""rate""></span>",,[424417126],"355,1","Remote Garage,Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",23/15 James Edward Street,[2],Richlands Rise,Australian Property Management Alliance - Mango Hill
[3],[3],Oxley,Sat 29-Sep-18,,Spacious Pet-Friendly Home Within Walking Distance to Train,"$1,480",4075,$370 p.w.,"This lovely home, elevated at the top of Moffat Street is awesome value. Boasting polished timber floors, modern kitchen and ceiling fans and screens throughout, this wonderful property will no doubt be snapped up quickly! If you think it already sounds perfect, just wait until you see the huge storage area and fully-fenced pet and kid friendly yard which has further room to park trailers or vehicles..",Pet Friendly,https://www.realestate.com.au/property-house-qld-oxley-424584770,"<span class=""rate""></span>",Property Type: House Garaging / carparking: Single lock-up,[424584770],370,"Garage Spaces:,1,Open Car Spaces:,2,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",6 Moffat Street,[1],Jess Kindt,Harcourts Marketplace - OXLEY
[4],[6],Inala,Available Now,"Toilets:,3",Room for the whole EXTENDED family and PET FREINDLY!,"$2,480",4077,$620 per week,Looking for the perfect home that has space for the whole family?  Or are you looking for the perfect teenagers retreat for those that aren't ready to leave the nest? Look no further because this property has it all!,Pet Friendly,https://www.realestate.com.au/property-house-qld-inala-424745322,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Ceiling Fans",[424745322],620,"Garage Spaces:,2,Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",4 Cygnus Street,[3],Courtney Pearson,One Agency - Forest Lake
[2],[2],Corinda,Sat 06-Oct-18,"Toilets:,1,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",Private and very cute house!,"$1,600",4075,$400 per week,Positioned in a quiet street you wouldn’t know you are so close to all amenities.,,https://www.realestate.com.au/property-house-qld-corinda-424794666,"<span class=""rate""></span>",,[424794666],400,"Carport Spaces:,2,Deck",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",29 Oxley Tce,[1],"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville
[1],[3],Sinnamon Park,Thu 04-Oct-18,"Toilets:,1,Air Conditioning",3 Bedroom home,"$1,640",4073,$410 per week,PERFECT FOR YOU!,,https://www.realestate.com.au/property-house-qld-sinnamon+park-419217530,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport",[419217530],410,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",21 Dove Tree Cres,[1],Karen Forrester,K & B Property Management Solutions - RACEVIEW
[2],[4],Sherwood,Available Now,,STUNNING HOME IN PREMIUM SHERWOOD HIGHSIDE LOCATION,,4075,$950 per week,"Positioned within Sherwood's prestigious 'high side', along one of the suburb's most desirable and very quiet streets, this immaculate and well-regarded home is currently offered for lease, delivering a strong focus on charm, relaxed entertaining, extensive privacy and modern flair.",,https://www.realestate.com.au/property-house-qld-sherwood-424713046,"<span class=""rate""></span>",,[424713046],950,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",18 Dudley Street,[2],Miles Johnston,JOHNSTON DIXON - Brisbane
[1],[1],Sherwood,Available Now,Air Conditioning,Recently Updated One Bedroom Apartment  Heart of Sherwood!,"$1,080",4075,CONTACT AGENT,"This light & airy fully one-bedroom unit is now ready to call home. Offering an air conditioned open plan living area providing easy access to the kitchen and meals area, well-sized bedroom and spacious ensuite bathroom. The bedroom features a built in, brand new carpet and ceiling fan, with access to the ensuite bathroom. For added security and privacy the unit is fitted with security screens and brand new roller blinds throughout.",,https://www.realestate.com.au/property-unit-qld-sherwood-424582386,"<span class=""rate""></span>",,[424582386],,"Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=metbne01&uniqueID=69314&source=REA,"<span class=""price""></span>",1/12 Skew Street,[1],Lauren MacDonald,Image Property - FORTITUDE VALLEY
[2],[4],Richlands,Available Now,Floorboards,"QUALITY, SPACE AND GREAT LOCATION","$1,960",4077,$490 per week,"If you are looking or a quality home with lots of space in a great location, this one is for you. This home features;",Pet Friendly,https://www.realestate.com.au/property-house-qld-richlands-424593150,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424593150],490,"Secure Parking,Garage Spaces:,2,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",25 Balgowan Street,[2],"Ashleah Lucey,Ben Gebbett",Specialists in Property - Bellbird Park
[2],[5],Jindalee,Mon 03-Dec-18,"Toilets:,1,Air Conditioning",Large Highset home in Jindalee!,"$2,020",4074,$505 per week,This brick highset home in Jindalee would suit a large family or dual living.,,https://www.realestate.com.au/property-house-qld-jindalee-420305282,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[420305282],505,"Secure Parking,Garage Spaces:,2,Balcony",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",6 Cooradilla Street,[1],Jacqui Price,Ray White - Middle Park
[1],[2],Oxley,Wed 03-Oct-18,"Ensuite:,1",Under Application,"$1,600",4075,$400 p.w.,"Be the very first to enjoy this sparkling, brand new apartment located in the heart of the Oxley retail hub. ",Pet Friendly,https://www.realestate.com.au/property-apartment-qld-oxley-424726918,"<span class=""rate""></span>",Property Type: Apartment Garaging / carparking: Closed carport,[424726918],400,"Remote Garage,Garage Spaces:,1,Fully Fenced",Apartment,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5/100 Ellen Street,[2],Jess Kindt,Harcourts Marketplace - OXLEY
[2],[4],Corinda,Available Now,"Toilets:,3,Air Conditioning",Spectacular family home in desirable location!,"$2,800",4075,$700 per week,"The grand proportions of this newly constructed single level home are evident from your first step into the welcoming foyer, ensuring space will never be lacking with ample room for a large family or frequent entertainers. Offering three separate entertaining areas and four generous bedrooms spread out over a spacious and unique floor plan, this home exceeds all expectations and is sure to impress. Situated in a sought after, family friendly street that enjoys easy access to parklands, playgrounds, dog park and walking tracks. ",,https://www.realestate.com.au/property-house-qld-corinda-424619930,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424619930],700,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424619930&theme=rea.rent,"<span class=""price""></span>",128 Lynne Grove Avenue,[2],Brandon Collinson,Ray White - Toowong
[2],[5],Jindalee,Sat 29-Sep-18,"Floorboards,Built-in Wardrobes,Dishwasher,Rumpus Room,Split-system Air Conditioning,Reverse-cycle Air Conditioning,Air Conditioning",Great Family Home with Entertainers Deck and Swimming Pool,"$2,360",4074,$550pw 6 Month Lease,** ARRANGE AN INSPECTION NOW **,Pet Friendly,https://www.realestate.com.au/property-house-qld-jindalee-424708558,"<span class=""rate""></span>",,[424708558],"550,6","Secure Parking,Garage Spaces:,2,Balcony,Deck,Outdoor Entertaining Area,Fully Fenced,Swimming Pool - Inground",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",20 Bareena Street,[2],"Chase Bursnall,Prudence Lam",Rent Star - Brisbane
[3],[3],Darra,Available Now,"Built-in Wardrobes,Dishwasher,Air Conditioning",Under Application,"$1,300",4076,$325 p.w.,"Looking for a great place for the kids and dogs to have room to run around? This lovely home is for you. Boasting timber floors throughout, screens, air-conditioning in master bedroom and shed for additional storage, this neat and tidy home is a great property to secure!",Pet Friendly,https://www.realestate.com.au/property-house-qld-darra-424727482,"<span class=""rate""></span>",Property Type: House Garaging / carparking: Open carport,[424727482],325,"Carport Spaces:,1,Open Car Spaces:,2,Fully Fenced",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",24 Kokoda Street,[1],Jess Kindt,Harcourts Marketplace - OXLEY
[2],[3],Riverhills,Fri 28-Sep-18,"Toilets:,1",Spacious Lowset,"$1,580",4074,$395 per week,This lowset home has loads to offer a family looking for somewhere to call home!,,https://www.realestate.com.au/property-house-qld-riverhills-424743510,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424743510],395,"Carport Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",5 Miena Close,[1],Karyl Davies,Ray White - Middle Park
[2],[2],Sherwood,Wed 31-Oct-18,"Ensuite:,1,Intercom,Built-in Wardrobes,Dishwasher,Air Conditioning","MODERN, SPACIOUS, STUNNING CITY VIEWS!","$1,800",4075,$450 per week,"This near new, spacious apartment is sure to impress! Finished to the highest standard with a modern layout, you won't want to miss the chance to inspect. This boutique complex is located only a 700m walk to the Sherwood train station, allowing you to take full advantage of the public transport facilities. ",Pet Friendly,https://www.realestate.com.au/property-apartment-qld-sherwood-424734602,"<span class=""rate""></span>",,[424734602],450,"Remote Garage,Secure Parking,Garage Spaces:,2,Balcony",Apartment,"[datetime.date(2018, 9, 26)]",http://www.inspectrealestate.com.au/RegisterOnline/Register.aspx?agentID=ipm03&uniqueID=43117.1&source=REA,"<span class=""price""></span>",403/47 Hood Street,[2],Tahlia Halstead,Image Property - ASPLEY
[2],[4],Richlands,Mon 08-Oct-18,,LOVELY FAMILY HOME,"$1,760",4077,$440 / Wk,"Just minutes to park, Richlands train station, local shops and cafes sits this lowset brick home which features:",,https://www.realestate.com.au/property-house-qld-richlands-420119518,"<span class=""rate""></span>",,[420119518],440,"Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",57 Littleton Road,[2],Karan Keinert,LJ Hooker - Algester
[1],[2],Oxley,Available Now,"Toilets:,2,Air Conditioning",Modern Large bedroom in Oxley,"$1,760",4075,$440 per week,"Set on level two of this contemporary block this stylish, modern, fully air conditioned unit has two carpeted double bedrooms with built in robes.",,https://www.realestate.com.au/property-unit-qld-oxley-424741470,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[424741470],440,"Secure Parking,Garage Spaces:,1",Unit,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",209/61 Ellen Street,[2],Leasing Oxley,Tessa Residential New Farm - NEW FARM
[1],[3],Oxley,Mon 22-Oct-18,"Toilets:,1,Air Conditioning",Oxley - Near Airconditioned New Townhouse,"$1,600",4075,$400 per week,"This 3 bedroom, 2.5 bathroom near new townhouse is set in a resort style complex. ",,https://www.realestate.com.au/property-townhouse-qld-oxley-423346566,"<span class=""rate""></span>","Built-In Wardrobes, Close to Shops, Garden",[423346566],400,"Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",4/90 Jutland Street,[2],West End Rentals,Ray White - West End
[2],[4],Sherwood,Available Now,"Living Areas:,1,Toilets:,2,Floorboards,Built-in Wardrobes,Dishwasher,Air Conditioning",River Views Inspect Now!,"$3,000",4075,$750 Per Week,The ultra-private home makes the most of its elevated position and serene views through a grand rear deck ideal for waterfront entertaining for your own peace of tranquility.,,https://www.realestate.com.au/property-house-qld-sherwood-424729610,"<span class=""rate""></span>",,[424729610],750,"Secure Parking,Garage Spaces:,2,Deck,Outdoor Entertaining Area",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424729610&theme=rea.rent,"<span class=""price""></span>",20 Douglas Street,[2],"Jonathan Najarro,Jaclyn Lazarou",Place - Graceville
