[710000]," None,
                        "," 44 ,
                        "," 25 years,
                        ","Business Only Mangement Rights in Prime Location
              ",[131612]," 1 ,
                        ",0, 3883221,[0]," 
                  ,
                ", 0," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. "," No unit to buy and no requirement to live onsite.
                       "," 42 ,
                        "," 0.0 ,
                        "," 0 ,
                        ",," Yes,
                      ","Joanne Piercy,Joanne Piercy",[49600]," 1 ,
                        "," 0,
                      "," 23 years,
                        "," 2 years,
                        ",Last Update:,0
Contact the Sire team," NO,
                        "," TBC ,
                        "," 25 years,
                        ","Great Lifestyle Business
              ",[243086]," 0 ,
                        ",4, 3881971,[650000]," 
                  ,
                ", 0," 
                       ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       "," TBC ,
                        "," 5.5 ,
                        "," 0 ,
                        ",," No,
                      ","Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong",[104046]," 0 ,
                        "," 1,
                      "," 21 years,
                        "," 9 years,
                        ",Last Update:,2
[899000]," None,
                        "," TBC ,
                        "," 25 years,
                        ","Simple and Easy!
              ",[105077]," 0 ,
                        ",3, 3878514,[375000]," 
                  ,
                ", 2," 
                       ","Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! "," 
                       "," TBC ,
                        "," 4.9 ,
                        "," 0 ,
                        ",," No,
                      ","David Jiang,David Jiang",[45271]," 0 ,
                        "," 1,
                      "," 23 years,
                        "," 0 years,
                        ",Last Update:,2
[3428000]," As per agreements,
                        "," 117 ,
                        "," 25 years,
                        ","Big Income Permanent and Small Short Term Mix in Central South Brisbane
              ",[480037]," 2 ,
                        ",3, 3883414,[640000]," 
                  ,
                ", 2," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       ","- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! "," 
                       "," 78 ,
                        "," 5.8 ,
                        "," 0 ,
                        ",," No,
                      ","David Jiang,David Jiang",[172676]," 37 ,
                        "," 1,
                      "," 24 years,
                        "," 12 years,
                        ",Last Update:,2
[1277500]," No set office hours,
                        "," 43 ,
                        "," 25 years,
                        ","CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              ",[135000]," 4 ,
                        ",3, 3882897,[670000]," 
                  ,
                ", 2," Swimming Pool, Barbecue
                       ",," 
                       "," 22 ,
                        "," 4.5 ,
                        "," 0 ,
                        ",," Yes,
                      ","Celine Tseng,Celine Tseng",[68727]," 17 ,
                        "," 1,
                      "," 21 years,
                        "," 14 years,
                        ",Last Update:,2
property_id,remuneration,letting,last_update,agreement_age,unit_feature,manager_car,multiplier,look_ups,agency,outside_agents,agreement_remaining,description,income,agreement_term,office,pets,manager_bathroom,office_hour,agent,manager_bed,address,unit_price,complex_fetures,price,total_unit,owner_occupy,title
 3882576,[187903]," 119 ,
                        ",Last Update:," 3 years,
                        "," 
                       ", 0," 6.0 ,
                        "," 0 ,
                        ",," 19 ,
                        "," 22 years,
                        ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ",[470000]," 25 years,
                        "," 0,
                      "," Yes,
                      ",0," 0,
                        ","Paul Kiehne,Paul Kiehne",0," 
                  ,
                ",[0]," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ",[2820000]," 147 ,
                        "," 9 ,
                        ","Business Only - Established and Low Maintenance
              "
 3878757,[118131]," 52 ,
                        ",Last Update:," 0 years,
                        "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ", 2," 5.2 ,
                        "," 0 ,
                        ",," 11 ,
                        "," 20 years,
                        ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties",[231000]," 25 years,
                        "," 1,
                      "," yes,
                      ",2," ,
                        ","Brent Staker,Brent Staker",3," 
                  ,
                ",[785000]," Two pools, two BBQs
                       ",[1985000]," 95 ,
                        "," 44 ,
                        ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "
 3883221,[49600]," 42 ,
                        ",Last Update:," 2 years,
                        "," No unit to buy and no requirement to live onsite.
                       ", 0," 0.0 ,
                        "," 0 ,
                        ",," 1 ,
                        "," 23 years,
                        ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. ",[131612]," 25 years,
                        "," 0,
                      "," Yes,
                      ",0," None,
                        ","Joanne Piercy,Joanne Piercy",0," 
                  ,
                ",[0]," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       ",[710000]," 44 ,
                        "," 1 ,
                        ","Business Only Mangement Rights in Prime Location
              "
 3881971,[104046]," TBC ,
                        ",Last Update:," 9 years,
                        "," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ", 0," 5.5 ,
                        "," 0 ,
                        ",," 0 ,
                        "," 21 years,
                        ","Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ",[243086]," 25 years,
                        "," 1,
                      "," No,
                      ",2," NO,
                        ","Richard Skiba and Jessica Dong,Richard Skiba and Jessica Dong",4," 
                  ,
                ",[650000]," 
                       ",Contact the Sire team," TBC ,
                        "," 0 ,
                        ","Great Lifestyle Business
              "
